表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,
公開日：,2021年3月5日,,,,,
,,,,,,
***,調査又は集計していないもの,,,,,
-,データが得られないもの,,,,,
X,数値が秘匿されているもの,,,,,
,,,,,,
,,,,,C120110,
調査年 コード,調査年,地域 コード,地域,/項目,C120110_課税対象所得【千円】,注釈
1992100000,1992年度,9000,栃木県,,"2,791,980,556",
1992100000,1992年度,10000,群馬県,,"2,779,575,313",
1992100000,1992年度,11000,埼玉県,,"11,312,470,780",
1992100000,1992年度,12000,千葉県,,"10,085,717,371",
1992100000,1992年度,13000,東京都,,"26,344,479,773",
1992100000,1992年度,14000,神奈川県,,"16,092,928,995",
1992100000,1992年度,15000,新潟県,,"3,019,661,944",
1992100000,1992年度,16000,富山県,,"1,629,124,867",
1992100000,1992年度,17000,石川県,,"1,642,317,178",
1992100000,1992年度,18000,福井県,,"1,161,680,793",
1992100000,1992年度,19000,山梨県,,"1,193,957,454",
1992100000,1992年度,20000,長野県,,"3,009,342,279",
1992100000,1992年度,21000,岐阜県,,"2,998,888,186",
1992100000,1992年度,22000,静岡県,,"5,894,117,715",
1992100000,1992年度,23000,愛知県,,"11,767,627,938",
1992100000,1992年度,24000,三重県,,"2,587,408,330",
1992100000,1992年度,25000,滋賀県,,"1,852,463,517",
1992100000,1992年度,26000,京都府,,"3,925,321,516",
1992100000,1992年度,27000,大阪府,,"13,775,344,704",
1992100000,1992年度,28000,兵庫県,,"8,549,783,752",
1992100000,1992年度,29000,奈良県,,"2,157,110,424",
1992100000,1992年度,30000,和歌山県,,"1,276,445,924",
1992100000,1992年度,31000,鳥取県,,"680,809,396",
1992100000,1992年度,32000,島根県,,"820,448,748",
1992100000,1992年度,33000,岡山県,,"2,485,771,342",
1992100000,1992年度,34000,広島県,,"4,122,921,415",
1992100000,1992年度,35000,山口県,,"1,920,757,396",
1992100000,1992年度,36000,徳島県,,"899,137,532",
1992100000,1992年度,37000,香川県,,"1,368,104,962",
1992100000,1992年度,38000,愛媛県,,"1,622,491,225",
1992100000,1992年度,39000,高知県,,"835,016,789",
1992100000,1992年度,40000,福岡県,,"5,926,946,239",
1992100000,1992年度,41000,佐賀県,,"904,945,966",
1992100000,1992年度,42000,長崎県,,"1,549,594,851",
1992100000,1992年度,43000,熊本県,,"1,846,157,717",
1992100000,1992年度,44000,大分県,,"1,280,681,037",
1992100000,1992年度,45000,宮崎県,,"1,082,748,807",
1992100000,1992年度,46000,鹿児島県,,"1,570,684,735",
1992100000,1992年度,47000,沖縄県,,"996,501,665",
1991100000,1991年度,0,全国,,"175,873,368,813",
1991100000,1991年度,1000,北海道,,"6,558,495,522",
1991100000,1991年度,2000,青森県,,"1,306,816,926",
1991100000,1991年度,3000,岩手県,,"1,316,184,133",
1991100000,1991年度,4000,宮城県,,"2,646,348,044",
1991100000,1991年度,5000,秋田県,,"1,100,962,592",
1991100000,1991年度,6000,山形県,,"1,258,578,646",
1991100000,1991年度,7000,福島県,,"2,228,605,531",
1991100000,1991年度,8000,茨城県,,"3,781,363,386",
1991100000,1991年度,9000,栃木県,,"2,519,199,885",
1991100000,1991年度,10000,群馬県,,"2,483,952,888",
1991100000,1991年度,11000,埼玉県,,"10,399,418,242",
1991100000,1991年度,12000,千葉県,,"9,536,259,172",
1991100000,1991年度,13000,東京都,,"25,558,024,482",
1991100000,1991年度,14000,神奈川県,,"15,158,045,582",
1991100000,1991年度,15000,新潟県,,"2,707,059,297",
1991100000,1991年度,16000,富山県,,"1,481,761,124",
1991100000,1991年度,17000,石川県,,"1,514,279,486",
1991100000,1991年度,18000,福井県,,"1,044,937,129",
1991100000,1991年度,19000,山梨県,,"1,078,978,495",
1991100000,1991年度,20000,長野県,,"2,702,865,466",
1991100000,1991年度,21000,岐阜県,,"2,733,971,106",
1991100000,1991年度,22000,静岡県,,"5,351,396,635",
1991100000,1991年度,23000,愛知県,,"10,770,174,460",
1991100000,1991年度,24000,三重県,,"2,345,902,683",
1991100000,1991年度,25000,滋賀県,,"1,696,453,036",
1991100000,1991年度,26000,京都府,,"3,876,183,196",
1991100000,1991年度,27000,大阪府,,"13,569,652,302",
1991100000,1991年度,28000,兵庫県,,"8,196,073,933",
1991100000,1991年度,29000,奈良県,,"2,098,366,807",
1991100000,1991年度,30000,和歌山県,,"1,194,446,248",
1991100000,1991年度,31000,鳥取県,,"624,582,945",
1991100000,1991年度,32000,島根県,,"753,096,658",
1991100000,1991年度,33000,岡山県,,"2,276,995,510",
1991100000,1991年度,34000,広島県,,"3,799,647,097",
1991100000,1991年度,35000,山口県,,"1,773,002,995",
1991100000,1991年度,36000,徳島県,,"822,481,212",
1991100000,1991年度,37000,香川県,,"1,241,954,921",
1991100000,1991年度,38000,愛媛県,,"1,481,852,630",
1991100000,1991年度,39000,高知県,,"770,285,581",
1991100000,1991年度,40000,福岡県,,"5,595,210,390",
1991100000,1991年度,41000,佐賀県,,"824,769,019",
1991100000,1991年度,42000,長崎県,,"1,417,067,716",
1991100000,1991年度,43000,熊本県,,"1,705,735,521",
1991100000,1991年度,44000,大分県,,"1,182,194,380",
1991100000,1991年度,45000,宮崎県,,"1,013,545,631",
1991100000,1991年度,46000,鹿児島県,,"1,457,264,349",
1991100000,1991年度,47000,沖縄県,,"918,925,824",
1990100000,1990年度,0,全国,,"156,919,290,557",
1990100000,1990年度,1000,北海道,,"5,871,132,546",
1990100000,1990年度,2000,青森県,,"1,171,696,659",
1990100000,1990年度,3000,岩手県,,"1,182,240,785",
1990100000,1990年度,4000,宮城県,,"2,325,988,838",
1990100000,1990年度,5000,秋田県,,"991,486,075",
1990100000,1990年度,6000,山形県,,"1,142,701,178",
1990100000,1990年度,7000,福島県,,"1,975,923,794",
1990100000,1990年度,8000,茨城県,,"3,316,407,337",
1990100000,1990年度,9000,栃木県,,"2,249,546,994",
1990100000,1990年度,10000,群馬県,,"2,199,938,101",
1990100000,1990年度,11000,埼玉県,,"9,239,581,426",
1990100000,1990年度,12000,千葉県,,"8,339,907,411",
1990100000,1990年度,13000,東京都,,"22,908,335,731",
1990100000,1990年度,14000,神奈川県,,"13,602,590,529",
1990100000,1990年度,15000,新潟県,,"2,446,877,177",
1990100000,1990年度,16000,富山県,,"1,325,017,995",
1990100000,1990年度,17000,石川県,,"1,343,804,952",
1990100000,1990年度,18000,福井県,,"944,468,245",
1990100000,1990年度,19000,山梨県,,"944,672,917",
1990100000,1990年度,20000,長野県,,"2,424,552,827",
1990100000,1990年度,21000,岐阜県,,"2,426,160,841",
1990100000,1990年度,22000,静岡県,,"4,843,312,163",
1990100000,1990年度,23000,愛知県,,"9,603,908,487",
1990100000,1990年度,24000,三重県,,"2,066,134,350",
1990100000,1990年度,25000,滋賀県,,"1,501,087,905",
1990100000,1990年度,26000,京都府,,"3,471,967,609",
1990100000,1990年度,27000,大阪府,,"12,124,983,558",
1990100000,1990年度,28000,兵庫県,,"7,246,522,934",
1990100000,1990年度,29000,奈良県,,"1,864,617,421",
1990100000,1990年度,30000,和歌山県,,"1,059,929,676",
1990100000,1990年度,31000,鳥取県,,"564,535,973",
1990100000,1990年度,32000,島根県,,"690,203,146",
1990100000,1990年度,33000,岡山県,,"2,045,918,768",
1990100000,1990年度,34000,広島県,,"3,400,975,307",
1990100000,1990年度,35000,山口県,,"1,611,922,884",
1990100000,1990年度,36000,徳島県,,"734,366,559",
1990100000,1990年度,37000,香川県,,"1,106,034,562",
1990100000,1990年度,38000,愛媛県,,"1,322,373,885",
1990100000,1990年度,39000,高知県,,"706,715,281",
1990100000,1990年度,40000,福岡県,,"4,933,147,757",
1990100000,1990年度,41000,佐賀県,,"759,318,524",
1990100000,1990年度,42000,長崎県,,"1,280,896,611",
1990100000,1990年度,43000,熊本県,,"1,526,900,702",
1990100000,1990年度,44000,大分県,,"1,046,255,697",
1990100000,1990年度,45000,宮崎県,,"895,128,821",
1990100000,1990年度,46000,鹿児島県,,"1,303,875,827",
1990100000,1990年度,47000,沖縄県,,"835,223,792",
1989100000,1989年度,0,全国,,"142,786,066,483",
1989100000,1989年度,1000,北海道,,"5,533,458,507",
1989100000,1989年度,2000,青森県,,"1,108,977,096",
1989100000,1989年度,3000,岩手県,,"1,121,573,763",
1989100000,1989年度,4000,宮城県,,"2,137,356,349",
1989100000,1989年度,5000,秋田県,,"938,348,174",
1989100000,1989年度,6000,山形県,,"1,064,796,395",
1989100000,1989年度,7000,福島県,,"1,801,257,924",
1989100000,1989年度,8000,茨城県,,"2,989,936,475",
1989100000,1989年度,9000,栃木県,,"2,046,633,670",
1989100000,1989年度,10000,群馬県,,"2,022,443,167",
1989100000,1989年度,11000,埼玉県,,"8,322,405,058",
1989100000,1989年度,12000,千葉県,,"7,400,924,106",
1989100000,1989年度,13000,東京都,,"20,383,345,194",
1989100000,1989年度,14000,神奈川県,,"12,159,877,279",
1989100000,1989年度,15000,新潟県,,"2,292,617,102",
1989100000,1989年度,16000,富山県,,"1,232,088,856",
1989100000,1989年度,17000,石川県,,"1,231,073,049",
1989100000,1989年度,18000,福井県,,"882,744,141",
1989100000,1989年度,19000,山梨県,,"856,131,051",
1989100000,1989年度,20000,長野県,,"2,247,885,440",
1989100000,1989年度,21000,岐阜県,,"2,228,891,031",
1989100000,1989年度,22000,静岡県,,"4,432,813,191",
1989100000,1989年度,23000,愛知県,,"8,736,998,387",
1989100000,1989年度,24000,三重県,,"1,900,808,710",
1989100000,1989年度,25000,滋賀県,,"1,353,212,600",
1989100000,1989年度,26000,京都府,,"3,145,500,746",
1989100000,1989年度,27000,大阪府,,"10,866,055,564",
1989100000,1989年度,28000,兵庫県,,"6,473,640,899",
1989100000,1989年度,29000,奈良県,,"1,650,446,607",
1989100000,1989年度,30000,和歌山県,,"955,654,657",
1989100000,1989年度,31000,鳥取県,,"534,505,560",
1989100000,1989年度,32000,島根県,,"664,917,808",
1989100000,1989年度,33000,岡山県,,"1,902,265,368",
1989100000,1989年度,34000,広島県,,"3,131,060,055",
1989100000,1989年度,35000,山口県,,"1,531,720,215",
1989100000,1989年度,36000,徳島県,,"694,665,239",
1989100000,1989年度,37000,香川県,,"1,042,922,905",
1989100000,1989年度,38000,愛媛県,,"1,245,607,024",
1989100000,1989年度,39000,高知県,,"670,933,628",
1989100000,1989年度,40000,福岡県,,"4,583,465,666",
1989100000,1989年度,41000,佐賀県,,"721,595,220",
1989100000,1989年度,42000,長崎県,,"1,239,727,537",
1989100000,1989年度,43000,熊本県,,"1,445,775,797",
1989100000,1989年度,44000,大分県,,"984,278,112",
1989100000,1989年度,45000,宮崎県,,"842,144,531",
1989100000,1989年度,46000,鹿児島県,,"1,249,933,930",
1989100000,1989年度,47000,沖縄県,,"782,652,700",
1988100000,1988年度,0,全国,,"133,698,217,733",
1988100000,1988年度,1000,北海道,,"5,206,470,696",
1988100000,1988年度,2000,青森県,,"1,059,182,371",
1988100000,1988年度,3000,岩手県,,"1,071,883,334",
1988100000,1988年度,4000,宮城県,,"2,017,516,586",
1988100000,1988年度,5000,秋田県,,"899,960,126",
1988100000,1988年度,6000,山形県,,"1,014,957,649",
1988100000,1988年度,7000,福島県,,"1,716,625,231",
1988100000,1988年度,8000,茨城県,,"2,747,154,850",
1988100000,1988年度,9000,栃木県,,"1,892,039,965",
1988100000,1988年度,10000,群馬県,,"1,870,416,656",
1988100000,1988年度,11000,埼玉県,,"7,725,920,080",
1988100000,1988年度,12000,千葉県,,"6,798,273,791",
1988100000,1988年度,13000,東京都,,"19,509,740,842",
1988100000,1988年度,14000,神奈川県,,"11,427,703,822",
1988100000,1988年度,15000,新潟県,,"2,158,713,690",
1988100000,1988年度,16000,富山県,,"1,170,343,472",
1988100000,1988年度,17000,石川県,,"1,150,940,768",
1988100000,1988年度,18000,福井県,,"832,336,916",
1988100000,1988年度,19000,山梨県,,"781,860,303",
1988100000,1988年度,20000,長野県,,"2,111,648,995",
1988100000,1988年度,21000,岐阜県,,"2,081,251,497",
1988100000,1988年度,22000,静岡県,,"4,126,693,442",
1988100000,1988年度,23000,愛知県,,"8,151,693,697",
1988100000,1988年度,24000,三重県,,"1,772,842,020",
1988100000,1988年度,25000,滋賀県,,"1,246,114,183",
1988100000,1988年度,26000,京都府,,"2,907,141,445",
1988100000,1988年度,27000,大阪府,,"10,024,280,639",
1988100000,1988年度,28000,兵庫県,,"5,999,128,256",
1988100000,1988年度,29000,奈良県,,"1,504,011,908",
1988100000,1988年度,30000,和歌山県,,"890,940,428",
1988100000,1988年度,31000,鳥取県,,"505,154,741",
1988100000,1988年度,32000,島根県,,"633,865,516",
1988100000,1988年度,33000,岡山県,,"1,793,438,846",
1988100000,1988年度,34000,広島県,,"2,925,607,506",
1988100000,1988年度,35000,山口県,,"1,460,445,574",
1988100000,1988年度,36000,徳島県,,"653,204,623",
1988100000,1988年度,37000,香川県,,"972,859,242",
1988100000,1988年度,38000,愛媛県,,"1,160,507,895",
1988100000,1988年度,39000,高知県,,"638,482,856",
1988100000,1988年度,40000,福岡県,,"4,286,859,638",
1988100000,1988年度,41000,佐賀県,,"661,841,989",
1988100000,1988年度,42000,長崎県,,"1,157,691,563",
1988100000,1988年度,43000,熊本県,,"1,354,157,008",
1988100000,1988年度,44000,大分県,,"923,059,967",
1988100000,1988年度,45000,宮崎県,,"787,004,187",
1988100000,1988年度,46000,鹿児島県,,"1,188,255,142",
1988100000,1988年度,47000,沖縄県,,"727,993,782",
1987100000,1987年度,0,全国,,"124,985,683,598",
1987100000,1987年度,1000,北海道,,"5,011,304,860",
1987100000,1987年度,2000,青森県,,"1,032,330,080",
1987100000,1987年度,3000,岩手県,,"1,044,021,659",
1987100000,1987年度,4000,宮城県,,"1,903,784,239",
1987100000,1987年度,5000,秋田県,,"888,764,178",
1987100000,1987年度,6000,山形県,,"987,396,597",
1987100000,1987年度,7000,福島県,,"1,645,856,354",
1987100000,1987年度,8000,茨城県,,"2,545,039,174",
1987100000,1987年度,9000,栃木県,,"1,777,405,178",
1987100000,1987年度,10000,群馬県,,"1,767,270,759",
1987100000,1987年度,11000,埼玉県,,"6,919,655,763",
1987100000,1987年度,12000,千葉県,,"6,123,101,368",
1987100000,1987年度,13000,東京都,,"17,577,051,033",
1987100000,1987年度,14000,神奈川県,,"10,323,622,865",
1987100000,1987年度,15000,新潟県,,"2,084,232,983",
1987100000,1987年度,16000,富山県,,"1,118,522,894",
1987100000,1987年度,17000,石川県,,"1,098,990,494",
1987100000,1987年度,18000,福井県,,"796,696,927",
1987100000,1987年度,19000,山梨県,,"733,216,071",
1987100000,1987年度,20000,長野県,,"2,024,802,566",
1987100000,1987年度,21000,岐阜県,,"1,967,215,897",
1987100000,1987年度,22000,静岡県,,"3,861,744,273",
1987100000,1987年度,23000,愛知県,,"7,664,190,697",
1987100000,1987年度,24000,三重県,,"1,677,738,048",
1987100000,1987年度,25000,滋賀県,,"1,182,795,717",
1987100000,1987年度,26000,京都府,,"2,742,356,022",
1987100000,1987年度,27000,大阪府,,"9,405,788,193",
1987100000,1987年度,28000,兵庫県,,"5,717,649,707",
1987100000,1987年度,29000,奈良県,,"1,399,854,889",
1987100000,1987年度,30000,和歌山県,,"861,303,772",
1987100000,1987年度,31000,鳥取県,,"488,718,627",
1987100000,1987年度,32000,島根県,,"622,364,886",
1987100000,1987年度,33000,岡山県,,"1,732,829,145",
1987100000,1987年度,34000,広島県,,"2,822,259,501",
1987100000,1987年度,35000,山口県,,"1,435,228,922",
1987100000,1987年度,36000,徳島県,,"626,053,877",
1987100000,1987年度,37000,香川県,,"936,026,005",
1987100000,1987年度,38000,愛媛県,,"1,131,062,681",
1987100000,1987年度,39000,高知県,,"610,623,723",
1987100000,1987年度,40000,福岡県,,"4,068,097,640",
1987100000,1987年度,41000,佐賀県,,"646,071,733",
1987100000,1987年度,42000,長崎県,,"1,143,212,320",
1987100000,1987年度,43000,熊本県,,"1,315,148,561",
1987100000,1987年度,44000,大分県,,"907,917,979",
1987100000,1987年度,45000,宮崎県,,"758,558,680",
1987100000,1987年度,46000,鹿児島県,,"1,156,679,365",
1987100000,1987年度,47000,沖縄県,,"701,126,696",
1986100000,1986年度,0,全国,,"118,237,627,412",
1986100000,1986年度,1000,北海道,,"4,847,609,196",
1986100000,1986年度,2000,青森県,,"1,006,494,950",
1986100000,1986年度,3000,岩手県,,"1,007,804,382",
1986100000,1986年度,4000,宮城県,,"1,829,593,242",
1986100000,1986年度,5000,秋田県,,"857,250,884",
1986100000,1986年度,6000,山形県,,"951,789,645",
1986100000,1986年度,7000,福島県,,"1,574,553,095",
1986100000,1986年度,8000,茨城県,,"2,406,235,806",
1986100000,1986年度,9000,栃木県,,"1,683,785,465",
1986100000,1986年度,10000,群馬県,,"1,680,577,206",
1986100000,1986年度,11000,埼玉県,,"6,417,927,404",
1986100000,1986年度,12000,千葉県,,"5,666,017,822",
1986100000,1986年度,13000,東京都,,"16,154,685,251",
1986100000,1986年度,14000,神奈川県,,"9,620,787,938",
1986100000,1986年度,15000,新潟県,,"1,998,766,828",
1986100000,1986年度,16000,富山県,,"1,074,438,792",
1986100000,1986年度,17000,石川県,,"1,053,360,712",
1986100000,1986年度,18000,福井県,,"761,296,134",
1986100000,1986年度,19000,山梨県,,"688,464,217",
1986100000,1986年度,20000,長野県,,"1,967,200,073",
1986100000,1986年度,21000,岐阜県,,"1,871,135,908",
1986100000,1986年度,22000,静岡県,,"3,670,150,699",
1986100000,1986年度,23000,愛知県,,"7,249,431,499",
1986100000,1986年度,24000,三重県,,"1,593,956,386",
1986100000,1986年度,25000,滋賀県,,"1,126,940,413",
1986100000,1986年度,26000,京都府,,"2,614,578,319",
1986100000,1986年度,27000,大阪府,,"8,988,044,968",
1986100000,1986年度,28000,兵庫県,,"5,491,938,834",
1986100000,1986年度,29000,奈良県,,"1,318,452,663",
1986100000,1986年度,30000,和歌山県,,"825,368,512",
1986100000,1986年度,31000,鳥取県,,"470,745,266",
1986100000,1986年度,32000,島根県,,"593,333,167",
1986100000,1986年度,33000,岡山県,,"1,667,658,441",
1986100000,1986年度,34000,広島県,,"2,729,827,100",
1986100000,1986年度,35000,山口県,,"1,391,944,827",
1986100000,1986年度,36000,徳島県,,"594,868,859",
1986100000,1986年度,37000,香川県,,"896,145,070",
1986100000,1986年度,38000,愛媛県,,"1,100,579,203",
1986100000,1986年度,39000,高知県,,"581,891,133",
1986100000,1986年度,40000,福岡県,,"3,887,427,146",
1986100000,1986年度,41000,佐賀県,,"612,021,390",
1986100000,1986年度,42000,長崎県,,"1,087,071,812",
1986100000,1986年度,43000,熊本県,,"1,248,343,621",
1986100000,1986年度,44000,大分県,,"879,776,448",
1986100000,1986年度,45000,宮崎県,,"728,463,968",
1986100000,1986年度,46000,鹿児島県,,"1,109,517,024",
1986100000,1986年度,47000,沖縄県,,"659,375,694",
1985100000,1985年度,0,全国,,"111,948,365,561",
1985100000,1985年度,1000,北海道,,"4,720,214,070",
1985100000,1985年度,2000,青森県,,"975,126,150",
1985100000,1985年度,3000,岩手県,,"960,334,226",
1985100000,1985年度,4000,宮城県,,"1,743,636,576",
1985100000,1985年度,5000,秋田県,,"832,030,789",
1985100000,1985年度,6000,山形県,,"905,255,647",
1985100000,1985年度,7000,福島県,,"1,502,357,901",
1985100000,1985年度,8000,茨城県,,"2,256,308,542",
1985100000,1985年度,9000,栃木県,,"1,580,745,529",
1985100000,1985年度,10000,群馬県,,"1,579,094,778",
1985100000,1985年度,11000,埼玉県,,"6,004,136,731",
1985100000,1985年度,12000,千葉県,,"5,295,697,930",
1985100000,1985年度,13000,東京都,,"15,112,005,608",
1985100000,1985年度,14000,神奈川県,,"8,970,264,274",
1985100000,1985年度,15000,新潟県,,"1,916,586,504",
1985100000,1985年度,16000,富山県,,"1,014,202,939",
1985100000,1985年度,17000,石川県,,"1,008,319,430",
1985100000,1985年度,18000,福井県,,"727,243,630",
1985100000,1985年度,19000,山梨県,,"643,667,180",
1985100000,1985年度,20000,長野県,,"1,846,071,751",
1985100000,1985年度,21000,岐阜県,,"1,762,936,207",
1985100000,1985年度,22000,静岡県,,"3,461,566,080",
1985100000,1985年度,23000,愛知県,,"6,808,044,612",
1985100000,1985年度,24000,三重県,,"1,500,371,840",
1985100000,1985年度,25000,滋賀県,,"1,060,428,076",
1985100000,1985年度,26000,京都府,,"2,484,181,046",
1985100000,1985年度,27000,大阪府,,"8,546,964,623",
1985100000,1985年度,28000,兵庫県,,"5,239,494,782",
1985100000,1985年度,29000,奈良県,,"1,241,652,296",
1985100000,1985年度,30000,和歌山県,,"786,919,999",
1985100000,1985年度,31000,鳥取県,,"453,268,324",
1985100000,1985年度,32000,島根県,,"576,187,378",
1985100000,1985年度,33000,岡山県,,"1,587,945,206",
1985100000,1985年度,34000,広島県,,"2,598,177,107",
1985100000,1985年度,35000,山口県,,"1,344,274,930",
1985100000,1985年度,36000,徳島県,,"571,875,265",
1985100000,1985年度,37000,香川県,,"852,985,947",
1985100000,1985年度,38000,愛媛県,,"1,056,359,503",
1985100000,1985年度,39000,高知県,,"562,172,697",
1985100000,1985年度,40000,福岡県,,"3,763,657,594",
1985100000,1985年度,41000,佐賀県,,"597,951,729",
1985100000,1985年度,42000,長崎県,,"1,058,318,788",
1985100000,1985年度,43000,熊本県,,"1,192,191,615",
1985100000,1985年度,44000,大分県,,"854,073,615",
1985100000,1985年度,45000,宮崎県,,"697,393,233",
1985100000,1985年度,46000,鹿児島県,,"1,069,466,720",
1985100000,1985年度,47000,沖縄県,,"626,206,164",
