prefecture_num,prefecture,year,month,bankruptcy
12,千葉県,2014,5,34
13,東京都,2014,5,179
14,神奈川県,2014,5,45
15,新潟県,2014,5,7
19,山梨県,2014,5,5
20,長野県,2014,5,7
21,岐阜県,2014,5,15
22,静岡県,2014,5,19
23,愛知県,2014,5,57
24,三重県,2014,5,10
16,富山県,2014,5,7
17,石川県,2014,5,12
18,福井県,2014,5,9
25,滋賀県,2014,5,12
26,京都府,2014,5,23
27,大阪府,2014,5,118
28,兵庫県,2014,5,36
29,奈良県,2014,5,6
30,和歌山県,2014,5,6
31,鳥取県,2014,5,0
32,島根県,2014,5,4
33,岡山県,2014,5,11
34,広島県,2014,5,16
35,山口県,2014,5,7
36,徳島県,2014,5,4
37,香川県,2014,5,4
38,愛媛県,2014,5,4
39,高知県,2014,5,6
40,福岡県,2014,5,33
41,佐賀県,2014,5,3
42,長崎県,2014,5,6
43,熊本県,2014,5,3
44,大分県,2014,5,5
45,宮崎県,2014,5,2
46,鹿児島県,2014,5,5
47,沖縄県,2014,5,6
1,北海道,2014,6,26
2,青森県,2014,6,7
3,岩手県,2014,6,2
4,宮城県,2014,6,7
5,秋田県,2014,6,6
6,山形県,2014,6,9
7,福島県,2014,6,1
8,茨城県,2014,6,9
9,栃木県,2014,6,9
10,群馬県,2014,6,4
11,埼玉県,2014,6,30
12,千葉県,2014,6,25
13,東京都,2014,6,181
14,神奈川県,2014,6,59
15,新潟県,2014,6,5
19,山梨県,2014,6,2
20,長野県,2014,6,8
21,岐阜県,2014,6,11
22,静岡県,2014,6,31
23,愛知県,2014,6,53
24,三重県,2014,6,5
16,富山県,2014,6,4
17,石川県,2014,6,8
18,福井県,2014,6,8
25,滋賀県,2014,6,13
26,京都府,2014,6,32
27,大阪府,2014,6,116
28,兵庫県,2014,6,52
29,奈良県,2014,6,11
30,和歌山県,2014,6,10
31,鳥取県,2014,6,1
32,島根県,2014,6,6
33,岡山県,2014,6,7
34,広島県,2014,6,11
35,山口県,2014,6,6
36,徳島県,2014,6,4
37,香川県,2014,6,2
38,愛媛県,2014,6,8
39,高知県,2014,6,5
40,福岡県,2014,6,31
41,佐賀県,2014,6,4
42,長崎県,2014,6,5
43,熊本県,2014,6,7
44,大分県,2014,6,6
