,,,労働力調査参考資料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,[四半期平均],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,第４表　都道府県別完全失業者（モデル推計値）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,(千人）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
,,,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
,,6,90,19,18,37,15,14,25,38,25,22,121,93,271,161,27,11,11,6,9,22,16,45,97,14,17,38,158,80,17,11,8,3,20,33,13,8,12,12,10,81,8,18,31,14,11,23,26
,７～９月,7,75,20,18,39,13,14,24,35,24,22,129,105,291,176,25,10,12,6,8,24,21,52,130,22,19,36,187,79,18,11,7,4,22,36,14,8,11,15,11,82,9,17,24,10,11,23,26
,,8,75,20,18,39,13,14,24,35,24,22,129,105,291,176,25,10,12,6,8,24,21,52,130,22,19,36,187,79,18,11,7,4,22,36,14,8,11,15,11,82,9,17,24,10,11,23,26
,,9,75,20,18,39,13,14,24,35,24,22,129,105,291,176,25,10,12,6,8,24,21,52,130,22,19,36,187,79,18,11,7,4,22,36,14,8,11,15,11,82,9,17,24,10,11,23,26
,10～12月,10,88,19,16,40,15,10,25,37,22,25,126,100,255,147,29,12,12,8,9,26,18,50,125,19,23,37,160,79,20,11,9,10,24,39,16,9,12,15,10,82,10,17,22,12,10,25,27
,,11,88,19,16,40,15,10,25,37,22,25,126,100,255,147,29,12,12,8,9,26,18,50,125,19,23,37,160,79,20,11,9,10,24,39,16,9,12,15,10,82,10,17,22,12,10,25,27
,,12,88,19,16,40,15,10,25,37,22,25,126,100,255,147,29,12,12,8,9,26,18,50,125,19,23,37,160,79,20,11,9,10,24,39,16,9,12,15,10,82,10,17,22,12,10,25,27
,,,(注)１.労働力調査は，都道府県別に表章するように標本設計を行っておらず(北海道及び沖縄県を除く。)，標本規模も小さいことなどにより，,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　　 全国結果に比べ結果精度が十分に確保できないとみられることから，結果の利用に当たっては注意を要する。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　２.数値は，労働力調査の結果を都道府県別に時系列回帰モデルによって推計した値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　　 詳細は　https://www.stat.go.jp/data/roudou/pref/pdf/02.pdf　を参照されたい。　　　　　,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　　 ただし，北海道，東京都，神奈川県，愛知県，大阪府及び沖縄県は比推定によって推計した値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　　 なお，2005年10月から2010年９月までは2010年国勢調査基準，2010年10月から2016年12月までは2015年国勢調査基準のベンチマーク人口に基づいて遡及又は補正した時系列接続用数値を用いて推計している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　　 時系列接続用数値の詳細は，https://www.stat.go.jp/data/roudou/170131/index.html を参照されたい。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　３.毎年１～３月期平均公表時に，新たな結果を追加して再計算を行い，前年までの過去５年間の四半期平均及び年平均結果を遡って一部改定している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　４.岩手県，宮城県及び福島県の2011年１～３月期から７～９月期までの<　>内の実数は補完推計値を用いて推計した値である。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,　　５.平成28年熊本地震により熊本県内で調査困難な地域があったため，熊本県の2016年４～６月期及び７～９月期は，回収された調査票以外に，時系列回帰モデルに基づく予測値を用いて推計している。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
