prefecture_num,prefecture,unemployment201401,unemployment201402,unemployment201403,unemployment201404,unemployment201405,unemployment201406,unemployment201407,unemployment201408,unemployment201409,unemployment201410,unemployment201411,unemployment201412,unemployment201501,unemployment201502,unemployment201503,unemployment201504,unemployment201505,unemployment201506,unemployment201507,unemployment201508,unemployment201509,unemployment201510,unemployment201511,unemployment201512,unemployment201601,unemployment201602,unemployment201603,unemployment201604,unemployment201605,unemployment201606,unemployment201607,unemployment201608,unemployment201609,unemployment201610,unemployment201611,unemployment201612,unemployment201701,unemployment201702,unemployment201703,unemployment201704,unemployment201705,unemployment201706,unemployment201707,unemployment201708,unemployment201709,unemployment201710,unemployment201711,unemployment201712,unemployment201801,unemployment201802,unemployment201803,unemployment201804,unemployment201805,unemployment201806,unemployment201807,unemployment201808,unemployment201809,unemployment201810,unemployment201811,unemployment201812,unemployment201901,unemployment201902,unemployment201903,unemployment201904,unemployment201905,unemployment201906,unemployment201907,unemployment201908,unemployment201909,unemployment201910,unemployment201911,unemployment201912,unemployment202001,unemployment202002,unemployment202003,unemployment202004,unemployment202005,unemployment202006,unemployment202007,unemployment202008,unemployment202009,unemployment202010,unemployment202011,unemployment202012,unemployment202101,unemployment202102,unemployment202103
36,ìøìáåß,13,13,13,12,12,12,13,13,13,10,10,10,12,12,12,11,11,11,11,11,11,10,10,10,11,11,11,11,11,11,11,11,11,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,8,8,8,7,7,7,8,8,8,5,5,5,7,7,7,7,7,7,8,8,8,5,5,5,7,7,7,8,8,8,8,8,8,9,9,9,8,8,8
37,çÅêÏåß,16,16,16,16,16,16,14,14,14,15,15,15,15,15,15,15,15,15,13,13,13,14,14,14,14,14,14,15,15,15,12,12,12,13,13,13,13,13,13,14,14,14,12,12,12,12,12,12,11,11,11,12,12,12,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,10,12,12,12,11,11,11,12,12,12,11,11,11
38,à§ïQåß,25,25,25,20,20,20,22,22,22,19,19,19,23,23,23,18,18,18,19,19,19,17,17,17,21,21,21,17,17,17,18,18,18,17,17,17,20,20,20,15,15,15,17,17,17,15,15,15,16,16,16,11,11,11,12,12,12,9,9,9,13,13,13,10,10,10,12,12,12,10,10,10,14,14,14,12,12,12,15,15,15,15,15,15,16,16,16
39,çÇímåß,12,12,12,12,12,12,12,12,12,11,11,11,12,12,12,12,12,12,10,10,10,10,10,10,12,12,12,14,14,14,11,11,11,11,11,11,11,11,11,13,13,13,10,10,10,9,9,9,10,10,10,10,10,10,7,7,7,5,5,5,6,6,6,8,8,8,7,7,7,7,7,7,8,8,8,10,10,10,11,11,11,10,10,10,7,7,7
40,ïüâ™åß,121,121,121,119,119,119,118,118,118,108,108,108,108,108,108,108,108,108,109,109,109,97,97,97,89,89,89,90,90,90,94,94,94,86,86,86,89,89,89,88,88,88,89,89,89,82,82,82,80,80,80,74,74,74,77,77,77,73,73,73,77,77,77,72,72,72,78,78,78,74,74,74,75,75,75,81,81,81,82,82,82,82,82,82,82,82,82
41,ç≤âÍåß,16,16,16,16,16,16,14,14,14,14,14,14,13,13,13,13,13,13,14,14,14,13,13,13,11,11,11,10,10,10,10,10,10,7,7,7,6,6,6,12,12,12,8,8,8,10,10,10,9,9,9,9,9,9,4,4,4,8,8,8,9,9,9,9,9,9,7,7,7,9,9,9,10,10,10,8,8,8,9,9,9,10,10,10,6,6,6
42,í∑çËåß,26,26,26,28,28,28,25,25,25,22,22,22,23,23,23,23,23,23,22,22,22,19,19,19,19,19,19,22,22,22,20,20,20,18,18,18,18,18,18,22,22,22,18,18,18,15,15,15,15,15,15,17,17,17,15,15,15,13,13,13,14,14,14,17,17,17,15,15,15,14,14,14,14,14,14,18,18,18,17,17,17,17,17,17,17,17,17
43,åFñ{åß,36,36,36,42,42,42,33,33,33,29,29,29,33,33,33,39,39,39,31,31,31,25,25,25,29,29,29,35,35,35,28,28,28,23,23,23,29,29,29,34,34,34,27,27,27,22,22,22,27,27,27,31,31,31,24,24,24,20,20,20,26,26,26,31,31,31,24,24,24,20,20,20,25,25,25,31,31,31,24,24,24,22,22,22,27,27,27
44,ëÂï™åß,19,19,19,21,21,21,18,18,18,19,19,19,19,19,19,18,18,18,15,15,15,17,17,17,15,15,15,17,17,17,13,13,13,15,15,15,15,15,15,15,15,15,13,13,13,14,14,14,13,13,13,14,14,14,11,11,11,13,13,13,12,12,12,14,14,14,9,9,9,11,11,11,12,12,12,14,14,14,10,10,10,12,12,12,13,13,13
45,ã{çËåß,17,17,17,21,21,21,20,20,20,15,15,15,17,17,17,19,19,19,21,21,21,15,15,15,13,13,13,12,12,12,14,14,14,11,11,11,10,10,10,10,10,10,13,13,13,11,11,11,9,9,9,7,7,7,8,8,8,5,5,5,8,8,8,8,8,8,11,11,11,8,8,8,12,12,12,11,11,11,11,11,11,10,10,10,14,14,14
46,é≠éôìáåß,30,30,30,32,32,32,32,32,32,31,31,31,27,27,27,28,28,28,29,29,29,27,27,27,21,21,21,24,24,24,24,24,24,24,24,24,23,23,23,24,24,24,24,24,24,23,23,23,19,19,19,20,20,20,21,21,21,21,21,21,19,19,19,19,19,19,22,22,22,21,21,21,17,17,17,23,23,23,23,23,23,25,25,25,23,23,23
47,â´ìÍåß,33,33,33,37,37,37,42,42,42,34,34,34,38,38,38,35,35,35,37,37,37,33,33,33,31,31,31,38,38,38,29,29,29,25,25,25,27,27,27,29,29,29,25,25,25,26,26,26,26,26,26,26,26,26,24,24,24,23,23,23,19,19,19,20,20,20,22,22,22,20,20,20,23,23,23,26,26,26,26,26,26,27,27,27,29,29,29
