ダウンロードした時刻：2021/05/19 13:45:31,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井,福井
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Sep,2015,9,18,21.3,25.5,18.1,30.5,12.9,226.5,0,15,0,58,0,122.5,0,33,0,81,1010.8
15-Oct,2015,10,18,16.3,22.1,11.6,25.9,5.6,100.5,0,28,0,38.5,0,201,0,58,0,74,1015.3
15-Nov,2015,11,18,13.1,17.1,9.8,24.1,4.2,208,0,8.5,0,29,0,92.9,0,30,0,82,1019.7
15-Dec,2015,12,18,7.5,11.6,3.7,19.1,-0.8,327,0,11.5,0,69,0,76.4,0,25,0,82,1019.6
16-Jan,2016,1,18,4.1,7.7,1.4,15.5,-5.2,272.5,0,8.5,0,35,0,61.8,0,20,0,82,1017.5
16-Feb,2016,2,18,4.6,9,1,16.7,-2,193.5,0,7,0,33.5,0,97.5,0,31,0,76,1019.5
16-Mar,2016,3,18,8.4,13.9,3.8,21.2,-1.1,66.5,0,6.5,0,29,0,159.5,0,43,0,66,1018.6
16-Apr,2016,4,18,14.5,20.1,9.5,26.6,2.2,178.5,0,11,0,52.5,0,158.1,0,40,0,66,1012.3
16-May,2016,5,18,19.5,25.1,14.7,32.2,10.4,81,0,7,0,20,0,219.9,0,51,0,66,1011.1
16-Jun,2016,6,18,22.4,26.9,18.6,32.1,11.4,152.5,0,22.5,0,28,0,146.7,0,34,0,72,1007.3
