ダウンロードした時刻：2021/05/19 13:56:20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡,福岡
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Sep,2015,9,40,23.2,27.3,20.3,30,17.1,146,0,14.5,0,24,0,158.1,0,43,0,78,1010.5
15-Oct,2015,10,40,18.9,23.5,14.8,29.2,11.3,83,0,18,0,67.5,0,231.2,0,66,0,67,1016.2
15-Nov,2015,11,40,16,19.6,12.9,27.5,5.2,140.5,0,17.5,0,41,0,101.8,0,33,0,76,1019.6
15-Dec,2015,12,40,10.3,13.5,7.4,18.2,1.3,109.5,0,5.5,0,28.5,0,91,0,30,0,72,1021.4
16-Jan,2016,1,40,7,9.9,4.4,16.5,-4,92,0,4.5,0,31,0,59.3,0,19,0,71,1020.4
16-Feb,2016,2,40,7.9,12,4.2,20.6,0.5,98.5,0,12.5,0,32,0,106.6,0,34,0,65,1021.5
16-Mar,2016,3,40,11.5,16.1,7.9,23.6,2,77.5,0,8.5,0,39,0,160.4,0,43,0,67,1018.9
16-Apr,2016,4,40,16.8,21.3,13.4,26.3,9.2,196,0,15.5,0,58,0,160.2,0,41,0,74,1011.9
16-May,2016,5,40,20.8,25.6,16.5,30.6,10.4,191.5,0,16,0,59.5,0,224.9,0,52,0,70,1010.6
16-Jun,2016,6,40,23.6,27.4,20.7,32,15.9,394.5,0,36,0,129.5,0,137.7,0,32,0,81,1006.7
16-Jul,2016,7,40,28.3,32.7,25.5,35.8,22.9,179.5,0,27,0,93.5,0,230,0,53,0,76,1007.6
16-Aug,2016,8,40,29.3,34.3,26.1,37,18.8,128,0,31.5,0,56.5,0,285,0,69,0,72,1003.3
16-Sep,2016,9,40,25.1,28.4,22.6,33,20,608.5,0,41.5,0,142,0,102.8,0,28,0,84,1009.8
16-Oct,2016,10,40,21.3,25.1,18.6,32.8,13.8,181,0,25,0,71,0,113,0,32,0,77,1015.1
16-Nov,2016,11,40,14.5,18.3,10.9,22.8,5.9,132.5,0,23,0,28.5,0,126.5,0,41,0,73,1018.9
16-Dec,2016,12,40,10.5,14.4,7.1,20.6,2.6,141,0,14.5,0,25.5,0,125.1,0,41,0,70,1020.7
17-Jan,2017,1,40,7.4,11.5,4,19,-0.6,69.5,0,7.5,0,24.5,0,139.5,0,44,0,66,1020.7
17-Feb,2017,2,40,8.3,12.5,4.6,19.5,0.3,49.5,0,4,0,17.5,0,152.7,0,50,0,60,1019.4
17-Mar,2017,3,40,10.5,14.7,7.2,19.4,4.1,46,0,3.5,0,14.5,0,169.2,0,46,0,61,1016.5
17-Apr,2017,4,40,16.5,21.1,12.7,28.2,5.8,192.5,0,23.5,0,81,0,198,0,51,0,69,1011.9
17-May,2017,5,40,21,25.8,17.2,31,14.3,81,0,11.5,0,43,0,253.9,0,59,0,65,1011.3
17-Jun,2017,6,40,23.1,27.7,19.6,33.2,15.9,173,0,25,0,80.5,0,194.3,0,45,0,72,1007.2
17-Jul,2017,7,40,29.4,33.3,26.5,36.1,22.8,146,0,8.5,0,80,0,207.5,0,47,0,77,1007.7
17-Aug,2017,8,40,29.5,33.8,26.4,37.5,23.5,95.5,0,16.5,0,28,0,258.2,0,62,0,73,1005.4
17-Sep,2017,9,40,24.3,28,21.3,31.3,17,128.5,0,10.5,0,43,0,136.6,0,37,0,76,1009.9
17-Oct,2017,10,40,19.8,23.1,17.1,29.5,11,289.5,0,24.5,0,82.5,0,122.8,0,35,0,77,1015.9
17-Nov,2017,11,40,13.6,17.6,10.1,22.8,4.4,23.5,0,3,0,6.5,0,145.4,0,47,0,68,1019.6
17-Dec,2017,12,40,7.4,10.6,4.2,16,0.8,24,0,7,0,8.5,0,91,0,30,0,61,1021.9
18-Jan,2018,1,40,5.7,9,2.8,18.6,-0.4,89.5,0,6.5,0,28.5,0,95.9,0,30,0,64,1019.7
18-Feb,2018,2,40,6.2,10.1,2.7,16.8,-1.8,57,0,10.5,0,21,0,130.2,0,43,0,63,1020
18-Mar,2018,3,40,11.9,16.9,7.7,23,3,147.5,0,9.5,0,32,0,202.4,0,55,0,69,1017.2
18-Apr,2018,4,40,17.1,21.9,13,26.4,6.8,61,0,8.5,0,28,0,216.6,0,56,0,66,1014.3
18-May,2018,5,40,20.8,25.3,16.9,31.6,10.4,134,0,24.5,0,49,0,190.6,0,44,0,68,1010.4
18-Jun,2018,6,40,23.7,27.6,20.4,31.7,16.6,267,0,45,0,66,0,178.9,0,42,0,75,1006.6
18-Jul,2018,7,40,28.7,32.6,25.7,38.3,20.8,466.5,0,36.5,0,236,0,250.3,0,57,0,74,1006.6
18-Aug,2018,8,40,30,34.5,27,38.1,23.7,52,0,17,0,17,0,282.9,0,68,0,68,1005.9
18-Sep,2018,9,40,24.8,28.5,22.1,34.8,17.5,176.5,0,12,0,40,0,118,0,32,0,75,1010.1
18-Oct,2018,10,40,19.1,22.9,15.7,30.2,11.4,59.5,0,11.5,0,16,0,172.2,0,49,0,67,1015.5
18-Nov,2018,11,40,14.3,19,10.5,23.5,4,39.5,0,16,0,17,0,165.7,0,53,0,68,1020
18-Dec,2018,12,40,10.2,13.1,7.3,26,2.3,67,0,5,0,22,0,91.1,0,30,0,66,1022.1
19-Jan,2019,1,40,8,11.7,4.4,14.8,0.6,54.5,0,8,0,29,0,140,0,45,0,65,1021.4
19-Feb,2019,2,40,9.4,13.3,6.3,22.7,1.8,41.5,0,3.5,0,10.5,0,124.6,0,41,0,65,1019.8
19-Mar,2019,3,40,11.9,16.1,8.3,22.8,4.8,99.5,0,6,0,37,0,186.6,0,51,0,63,1015
19-Apr,2019,4,40,15.4,19.8,11.9,24.8,6.5,103,0,11,0,29.5,0,191.8,0,49,0,67,1012.9
19-May,2019,5,40,21.1,26.4,16.7,32.2,10.1,42,0,13.5,0,24.5,0,262.3,0,61,0,58,1010.7
19-Jun,2019,6,40,23.4,27.8,20.2,32.1,17.6,94,0,13.5,0,37.5,0,199.9,0,47,0,74,1005.4
19-Jul,2019,7,40,26.4,29.9,24,35,20.4,295.5,0,37.5,0,93,0,133.4,0,31,0,81,1005.6
19-Aug,2019,8,40,28,31.9,25.2,37.6,18.7,497,0,35,0,130.5,0,152.2,0,37,0,76,1005.2
19-Sep,2019,9,40,25.9,29.9,23,34.8,16.8,136,0,18,0,50,0,165.3,0,45,0,76,1011.3
19-Oct,2019,10,40,20.5,24.4,17.3,31.8,11.7,136.5,0,11.5,0,51,0,165.8,0,47,0,73,1014.7
19-Nov,2019,11,40,14.9,19.4,11,23.8,6.4,29,0,10,0,12,0,169.1,0,54,0,68,1019
19-Dec,2019,12,40,10.3,14.1,6.9,19.6,3.1,80,0,8,0,31.5,0,91,0,30,0,68,1021.4
20-Jan,2020,1,40,9.5,12.7,6.8,19.5,1.6,153.5,0,19,0,46.5,0,93.2,0,30,0,71,1018.7
20-Feb,2020,2,40,9.7,13.8,6.1,21.3,1.7,64.5,0,5.5,0,14.5,0,135.8,0,43,0,66,1021.5
20-Mar,2020,3,40,12.4,16.5,8.7,23.8,2.5,158,0,23,0,44,0,178.2,0,48,0,64,1015.1
