ダウンロードした時刻：2021/05/19 13:50:29,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良,奈良
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Jul,2017,7,29,28.1,33,24.5,35.5,21.7,57,0,11,0,17.5,0,164.1,0,37,0,73,997.8
17-Aug,2017,8,29,28,33.2,24.2,36.9,20.6,126,0,15.5,0,62,0,192.2,0,46,0,72,995.4
17-Sep,2017,9,29,22.9,27.8,18.8,31.2,13.7,145,0,29,0,48.5,0,143.2,0,39,0,73,999.8
17-Oct,2017,10,29,17.3,21.1,14.1,29.2,6.3,443,0,24.5,0,196.5,0,85.5,0,24,0,83,1005.7
17-Nov,2017,11,29,10.8,15.9,6.4,22,1,52,0,4.5,0,15,0,163.6,0,53,0,75,1007.9
17-Dec,2017,12,29,5.3,10,1.4,15.6,-1.3,30.5,0,10,0,25.5,0,148.9,0,49,0,68,1008.2
18-Jan,2018,1,29,3.5,7.9,-0.1,16.2,-3.9,60,0,3.5,0,21.5,0,139.2,0,45,0,71,1006.3
18-Feb,2018,2,29,4,8.8,-0.2,17.1,-3.7,24,0,6.5,0,18,0,154.8,0,51,0,63,1007.4
18-Mar,2018,3,29,10.3,16.8,4.5,24,-0.5,130.5,0,16,0,30.5,0,215.9,0,58,0,65,1006.2
18-Apr,2018,4,29,15.8,22.1,10.1,28.5,3,162.5,0,27,0,65,0,203.3,0,52,0,64,1003.6
18-May,2018,5,29,19.3,24.8,14.5,30.9,6.9,216.5,0,23,0,75.5,0,191.7,0,44,0,65,1000.3
18-Jun,2018,6,29,22.8,27.8,18.6,34.3,13.4,212.5,0,13,0,75.5,0,169.4,0,39,0,74,997.2
18-Jul,2018,7,29,28.8,34.2,24.7,38.1,21.5,326,0,35,0,133,0,239.2,0,54,0,71,997.9
18-Aug,2018,8,29,28.7,34.4,24.5,37.1,17.4,36,0,10.5,0,15,0,246.7,0,59,0,67,997.2
18-Sep,2018,9,29,23.1,27.1,19.9,32.1,14.8,322,0,28.5,0,61.5,0,80.2,0,22,0,81,1000.3
18-Oct,2018,10,29,18,23.1,13.6,31.2,8.8,34,0,9,0,9,0,169.5,0,48,0,72,1004.5
18-Nov,2018,11,29,12.6,18.2,8.1,23.9,2.5,36,0,5.5,0,16,0,146.3,0,47,0,76,1008.7
18-Dec,2018,12,29,7.8,12.3,4.1,24.9,-1.4,86.5,0,18,0,20.5,0,109,0,36,0,75,1009.5
19-Jan,2019,1,29,4.7,9.2,0.7,12,-2.1,27,0,4.5,0,21.5,0,118.6,0,38,0,71,1008.2
19-Feb,2019,2,29,6.3,10.9,2.2,16.5,-1.7,51,0,5.5,0,20.5,0,119.6,0,39,0,71,1008.2
19-Mar,2019,3,29,9.2,14.7,4.3,22.1,-0.3,83,0,5.5,0,17.5,0,144.6,0,39,0,67,1003
19-Apr,2019,4,29,13.5,19.4,8.2,26.9,1.3,76,0,5,0,16.5,0,186.8,0,48,0,63,1002
19-May,2019,5,29,19.8,26.5,13.9,33.6,5.6,88,0,17,0,51,0,261.8,0,61,0,56,1001
19-Jun,2019,6,29,22.8,28.1,18.6,32.5,15.7,144,0,21,0,39,0,149.7,0,35,0,72,995.3
19-Jul,2019,7,29,25.7,30.3,22.4,35.8,19.8,301,0,54.5,0,61.5,0,104.4,0,24,0,80,996.7
