ダウンロードした時刻：2021/05/19 13:41:01,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸,水戸
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Jun,2017,6,8,20.2,24.9,16.5,29.9,11.6,55.5,0,6.5,0,29.5,0,174.3,0,40,0,75,1005.3
17-Jul,2017,7,8,26.2,30.8,22.8,34.9,20.4,104,0,21.5,0,35.5,0,174,0,39,0,80,1005.7
17-Aug,2017,8,8,24.9,28.6,22,35.7,17.9,123.5,0,35,0,70,0,100,0,24,0,84,1004.6
17-Sep,2017,9,8,21.6,26.2,17.8,34.5,12.5,126,0,11,0,51,0,157.8,0,42,0,78,1008.4
17-Oct,2017,10,8,15.8,19.7,12.4,27.4,3.9,332.5,0,21,0,79.5,0,106.3,0,30,0,83,1015
17-Nov,2017,11,8,10,15.7,4.9,21.3,-1.2,39.5,0,4,0,22.5,0,166.8,0,54,0,73,1013.8
17-Dec,2017,12,8,4.6,10.8,-0.8,17.2,-4.9,20.5,0,3,0,8.5,0,213.4,0,71,0,65,1012.3
18-Jan,2018,1,8,2.8,8.5,-2.4,13.3,-7.9,48.5,0,4.5,0,18,0,219.1,0,71,0,61,1010.3
18-Feb,2018,2,8,3.5,9,-1.6,13.7,-5,7.5,0,2.5,0,3.5,0,195.6,0,65,0,59,1013
18-Mar,2018,3,8,9.9,16.2,3.9,24.4,-1,189,0,13.5,0,42,0,207.9,0,56,0,66,1013.4
18-Apr,2018,4,8,15.1,20.8,9.6,28.3,2.7,96,0,9.5,0,47,0,200.2,0,51,0,70,1010.8
18-May,2018,5,8,18.3,23.8,13.3,30.2,6.2,175.5,0,14,0,39,0,202.2,0,46,0,73,1008
18-Jun,2018,6,8,21.4,25.7,17.7,34.4,13,106,0,9.5,0,30,0,179.8,0,41,0,79,1006
18-Jul,2018,7,8,27.2,31.9,23.6,36.2,18.6,131.5,0,30,0,60,0,219.4,0,49,0,78,1007.2
18-Aug,2018,8,8,26.7,31.7,23,37.6,15.3,83.5,0,17,0,23,0,199.2,0,48,0,78,1005.5
18-Sep,2018,9,8,22,26.2,18.8,33.7,12.1,288.5,0,29,0,58.5,0,92.4,0,25,0,84,1010.3
18-Oct,2018,10,8,17.6,22.6,13.5,32.9,6.7,67,0,26.5,0,29.5,0,156.3,0,45,0,76,1012.4
18-Nov,2018,11,8,12.4,17.6,7.7,22.6,2.1,65,0,20.5,0,46,0,171.2,0,56,0,75,1016.3
18-Dec,2018,12,8,6.2,11.5,1.2,20.2,-5.4,24.5,0,4,0,8,0,155.8,0,52,0,67,1015
19-Jan,2019,1,8,3.4,10.1,-2.5,14.4,-5.8,9,0,2.5,0,9,0,238.9,0,78,0,53,1012.5
19-Feb,2019,2,8,5.4,10.9,0.2,18.7,-5.2,51.5,0,7,0,34.5,0,148.5,0,49,0,60,1014.3
19-Mar,2019,3,8,8.7,14.1,3.1,22.5,-2.4,90,0,10,0,41,0,188.3,0,51,0,62,1009.4
19-Apr,2019,4,8,11.8,17.4,6.4,24,-1.6,81,0,5,0,21,0,210.8,0,54,0,64,1009.8
19-May,2019,5,8,18.4,24,12.9,33.4,4.2,100,0,15,0,57.5,0,260.5,0,60,0,67,1009.9
19-Jun,2019,6,8,20.7,24.7,17.3,30.9,13.9,146,0,7,0,48,0,144.7,0,33,0,79,1004.4
19-Jul,2019,7,8,23.5,27.1,21,35.2,17.2,123,0,16.5,0,48,0,98.8,0,22,0,84,1006.5
19-Aug,2019,8,8,27.3,31.5,24.2,36.3,20.3,86.5,0,17,0,27,0,199.3,0,48,0,80,1005.6
19-Sep,2019,9,8,23.5,28.1,19.9,34.4,14.4,133,0,23.5,0,72.5,0,150.1,0,40,0,79,1012
19-Oct,2019,10,8,18.3,22.1,14.9,29.3,10.3,370.5,0,46.5,0,126,0,129.9,0,37,0,80,1012.9
