ダウンロードした時刻：2021/05/19 13:44:10,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟,新潟
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Sep,2015,9,15,21.1,24.7,17.9,28.1,14.6,145.5,0,12.5,0,29,0,121.9,0,33,0,77,1012.5
15-Oct,2015,10,15,15.8,19.9,11.5,26.2,8,106,0,11.5,0,21.5,0,194.2,0,56,0,67,1016.1
15-Nov,2015,11,15,12.1,15.1,9.1,21.5,1.8,187,0,6,0,41,0,77.4,0,26,0,77,1021.3
15-Dec,2015,12,15,7,10.1,3.8,16.6,0.8,165.5,0,11,0,59.5,0,71.5,0,24,0,73,1020.1
16-Jan,2016,1,15,3.1,5.7,0.7,13.7,-2.7,269,0,9,0,30,0,23.9,0,8,0,82,1017.3
16-Feb,2016,2,15,3.6,7.1,0.7,14.5,-3.5,130,0,8.5,0,32.5,0,81.3,0,26,0,73,1019.7
16-Mar,2016,3,15,6.9,11.1,3,21.7,-1.3,41.5,0,5.5,0,9,0,157.6,0,43,0,69,1019.8
16-Apr,2016,4,15,12.4,17.4,8.3,26.7,1.5,120.5,0,6.5,0,37,0,198.5,0,50,0,68,1013.6
16-May,2016,5,15,18.4,23.1,14.1,29.2,10.2,90,0,11,0,23,0,224.5,0,51,0,68,1012.2
16-Jun,2016,6,15,21.4,25.3,18.1,30.5,11.6,73.5,0,11,0,12.5,0,193.2,0,44,0,74,1008.7
16-Jul,2016,7,15,24.6,28.2,22,34.2,19.3,194.5,0,23.5,0,51.5,0,152,0,34,0,79,1009.2
16-Aug,2016,8,15,27,31.1,23.3,35.9,19.7,85,0,18.5,0,25,0,271.9,0,65,0,74,1004.6
16-Sep,2016,9,15,23.4,27,20.3,34.8,12.1,127,0,7.5,0,24,0,130.5,0,35,0,79,1013
16-Oct,2016,10,15,16.4,20.4,12.2,29,6.1,99,0,10,0,28,0,134.1,0,39,0,72,1018
16-Nov,2016,11,15,9.9,13.6,6.2,20.6,1.3,89.5,0,3.5,0,13.5,0,106.5,0,35,0,72,1019.8
16-Dec,2016,12,15,6.4,10,3.2,16.3,-0.1,179.5,0,14,0,46,0,64.4,0,22,0,77,1018.8
17-Jan,2017,1,15,3.1,6,0.6,11.1,-4,161,0,9.5,0,26.5,0,52.5,0,17,0,79,1016.2
17-Feb,2017,2,15,3.3,6.9,0.3,13.3,-2.2,95,0,5.5,0,26,0,72.9,0,24,0,70,1015.6
17-Mar,2017,3,15,6.1,10.1,2.7,15.5,-0.2,69,0,10,0,16.5,0,144.2,0,39,0,69,1015.5
17-Apr,2017,4,15,11.6,16.7,7.1,25,1.6,99.5,0,7,0,31,0,192.7,0,49,0,68,1012.7
17-May,2017,5,15,17.7,22.4,13.5,30.6,8,56,0,9.5,0,16.5,0,234.1,0,53,0,69,1012.1
17-Jun,2017,6,15,19,23.1,15.7,27.9,10.9,48,0,7,0,21,0,177.9,0,40,0,76,1008.7
17-Jul,2017,7,15,25.9,29.3,22.9,34.6,19,443,0,29.5,0,121,0,197.7,0,44,0,81,1008.4
17-Aug,2017,8,15,26.2,29.8,23.1,36.4,17.9,258,0,25.5,0,57.5,0,171.6,0,41,0,77,1006.7
17-Sep,2017,9,15,21.7,26,17.7,29.7,11.8,95.5,0,8,0,28,0,190.2,0,51,0,75,1011.3
17-Oct,2017,10,15,16.4,19.7,13.2,26.2,8,150.5,0,11,0,47,0,75,0,22,0,77,1018.5
17-Nov,2017,11,15,9.1,13.3,5.3,20.9,0,231.5,0,10.5,0,27,0,91.6,0,30,0,76,1018.1
17-Dec,2017,12,15,3.9,7.1,1.4,12.7,-0.6,329.5,0,8.5,0,49,0,42.1,0,14,0,80,1016.9
18-Jan,2018,1,15,1.7,4.9,-1,11.7,-5.9,206,0,5.5,0,34.5,0,54.5,0,18,0,79,1015.3
18-Feb,2018,2,15,1.4,4.5,-1.6,9.3,-4.8,108.5,0,4.5,0,26.5,0,83.9,0,28,0,79,1017.8
18-Mar,2018,3,15,7.5,12.6,3,22.4,-1.2,111,0,9.5,0,21,0,175.1,0,47,0,66,1018.3
18-Apr,2018,4,15,12.7,17.6,8.5,26.9,2.1,139.5,0,8.5,0,23.5,0,175.5,0,45,0,72,1014.5
18-May,2018,5,15,17,21.5,12.9,29.5,8.6,139,0,12,0,25,0,164.3,0,37,0,74,1011.2
18-Jun,2018,6,15,21.1,25.5,17.5,33.8,12.8,66.5,0,15.5,0,24.5,0,189.1,0,43,0,75,1008.6
18-Jul,2018,7,15,27.4,31.7,23.9,38.4,19.5,42,0,4,0,14,0,262.5,0,59,0,75,1009.4
18-Aug,2018,8,15,26.6,30.8,23.2,39.9,15.7,278,0,45,0,73.5,0,186.1,0,44,0,76,1008.3
18-Sep,2018,9,15,21.8,25.4,18.7,31.7,14.6,248.5,0,17,0,36,0,113.9,0,31,0,80,1012.7
18-Oct,2018,10,15,17.2,21.3,13.3,33.2,7.8,154,0,10,0,27,0,141.6,0,41,0,75,1015.8
18-Nov,2018,11,15,11.6,15.7,8,22.8,3.2,97,0,8.5,0,21,0,95.7,0,32,0,78,1020.4
18-Dec,2018,12,15,5.9,9.2,2.8,18.7,-0.6,205.5,0,8,0,25.5,0,56.6,0,19,0,75,1019.7
19-Jan,2019,1,15,3,6.2,0.5,9.4,-1.4,150,0,6.5,0,25.5,0,51.9,0,17,0,75,1018
19-Feb,2019,2,15,4,7.6,0.9,14.2,-1.8,65.5,0,5.5,0,13.5,0,73.1,0,24,0,72,1019.6
