ダウンロードした時刻：2021/05/19 13:55:30,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山,松山
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Jul,2017,7,38,28.5,32.6,25.3,35,22.9,118.5,0,18.5,0,34,0,196.8,0,45,0,73,1005.7
17-Aug,2017,8,38,28.8,33.2,25.4,37.2,21.6,104.5,0,19.5,0,56,0,225.2,0,54,0,70,1003.2
17-Sep,2017,9,38,23.7,27.9,20.3,32.2,15.1,288,0,42,0,187.5,0,134.7,0,36,0,73,1007.6
17-Oct,2017,10,38,18.8,22.3,15.7,28.4,7.6,370.5,0,12,0,81,0,114.7,0,33,0,77,1013.4
17-Nov,2017,11,38,12.7,17,8.6,22.3,4.3,50.5,0,4.5,0,15.5,0,151.3,0,49,0,70,1016.7
17-Dec,2017,12,38,6.8,10.7,3,14.8,0,28.5,0,8.5,0,14.5,0,132.1,0,43,0,61,1018.3
18-Jan,2018,1,38,5,8.8,1.7,15.6,-2.3,63,0,6,0,25.5,0,125.2,0,40,0,67,1016.3
18-Feb,2018,2,38,5.5,9.7,1.8,18.9,-2.4,26.5,0,4.5,0,14,0,155.8,0,51,0,61,1016.9
18-Mar,2018,3,38,11.4,16.7,6.5,22.8,0.4,167.5,0,30.5,0,55.5,0,217.8,0,59,0,63,1014.5
18-Apr,2018,4,38,16.7,21.6,12,26,2.8,138,0,30.5,0,91.5,0,226.7,0,58,0,62,1011.9
18-May,2018,5,38,19.8,24,15.7,30.1,9.9,158.5,0,11,0,55.5,0,193.5,0,45,0,67,1008.3
18-Jun,2018,6,38,23,27.1,19.5,33.8,14.3,194.5,0,27,0,79.5,0,167.5,0,39,0,75,1004.7
18-Jul,2018,7,38,28.3,32.4,24.8,35.9,21.6,435.5,0,33,0,206,0,225.3,0,51,0,74,1005
18-Aug,2018,8,38,29.4,34.4,25.6,37.4,21.2,15.5,0,4,0,8,0,282.6,0,68,0,67,1004.4
18-Sep,2018,9,38,24.1,28,21.1,33.6,16.3,452,0,37,0,129,0,107.8,0,29,0,78,1007.7
18-Oct,2018,10,38,19.1,23.5,15.2,32.3,11.1,34.5,0,7.5,0,10.5,0,193.1,0,55,0,67,1012.7
18-Nov,2018,11,38,13.6,18.6,9.4,23.8,3.4,34,0,4,0,15,0,173.9,0,56,0,68,1017.3
18-Dec,2018,12,38,9.4,12.9,6.3,25.2,0.7,77,0,10.5,0,14,0,103,0,34,0,71,1018.8
19-Jan,2019,1,38,7.2,11.2,3.2,13.7,0.6,24.5,0,3.5,0,12.5,0,151.3,0,48,0,64,1017.9
19-Feb,2019,2,38,8.2,12.2,4.6,16.6,1.1,81.5,0,6,0,17.5,0,114.4,0,37,0,69,1016.9
19-Mar,2019,3,38,10.9,15.3,6.7,25.3,1.6,120.5,0,7,0,32,0,182.4,0,49,0,64,1012
19-Apr,2019,4,38,14.8,19.4,10.7,26.3,2.9,75.5,0,6.5,0,21.5,0,220.7,0,57,0,64,1010.4
19-May,2019,5,38,20.3,25.5,15.4,32.3,9.1,36,0,15,0,21.5,0,260.6,0,61,0,57,1008.8
19-Jun,2019,6,38,23,27.5,19.5,30.9,16.2,156,0,14.5,0,70.5,0,174.9,0,41,0,72,1003.2
19-Jul,2019,7,38,26.1,30,23.3,34.9,20.4,252,0,38.5,0,81.5,0,134.7,0,31,0,79,1004
19-Aug,2019,8,38,27.8,32,24.5,36,19.8,199.5,0,26.5,0,57,0,166.1,0,40,0,76,1003.6
19-Sep,2019,9,38,26.3,31.2,22.5,34.6,16.6,34.5,0,10.5,0,16.5,0,189.4,0,51,0,72,1009.6
19-Oct,2019,10,38,20.7,25.1,17.1,33.3,12.1,65.5,0,7.5,0,35.5,0,157.9,0,45,0,72,1011.7
19-Nov,2019,11,38,14.1,19.2,9.7,24.8,3.8,12.5,0,8.5,0,9,0,179.5,0,58,0,68,1016.3
19-Dec,2019,12,38,9.7,13.9,5.9,18.2,2.8,86.5,0,8,0,24.5,0,115.1,0,38,0,70,1018.5
20-Jan,2020,1,38,8.7,12.7,5.4,19.5,1.3,93,0,12,0,21.5,0,124.8,0,40,0,68,1015.7
20-Feb,2020,2,38,8.4,12.7,4.6,17.8,0.7,55,0,7.5,0,13,0,157.4,0,50,0,64,1018.7
20-Mar,2020,3,38,11.4,15.9,7.1,21.7,1.6,100.5,0,11,0,22,0,170.3,0,46,0,66,1012.3
20-Apr,2020,4,38,13.3,18,8.6,22.4,3.9,161.5,0,7,0,62,0,237.9,0,61,0,58,1011.8
20-May,2020,5,38,20.1,24.7,16,28,11.8,108,0,14,0,40.5,0,226,0,53,0,67,1007.3
20-Jun,2020,6,38,24.2,28.4,20.7,33.1,17.2,235.5,0,14,0,54.5,0,177.2,0,41,0,74,1003.5
20-Jul,2020,7,38,25.6,29.4,22.8,34.3,18.4,551.5,0,33.5,0,148,0,108.1,0,25,0,80,1004.6
20-Aug,2020,8,38,29.7,34.5,25.9,36,23.8,10.5,0,7.5,0,8,0,286.6,0,69,0,69,1007.3
20-Sep,2020,9,38,25.2,29.7,21.9,36.2,16.1,135,0,13,0,49,0,149.2,0,40,0,73,1006.7
20-Oct,2020,10,38,18.8,23.5,14.9,27.8,9.4,116,0,17,0,70,0,189.8,0,54,0,71,1013.1
20-Nov,2020,11,38,14.7,19.5,10.4,27.6,5.9,56.5,0,6.5,0,31.5,0,183.9,0,59,0,71,1018.3
20-Dec,2020,12,38,7.9,12.5,4.2,17.6,0.5,39,0,5,0,20,0,151.6,0,49,0,65,1018.2
21-Jan,2021,1,38,6.2,10.1,2.6,15.5,-2.5,36.5,0,3,0,15,0,156.3,0,50,0,65,1017.6
21-Feb,2021,2,38,8.9,13.8,4.6,21.8,-1.3,69,0,5.5,0,34.5,0,179,0,59,0,63,1015.5
21-Mar,2021,3,38,12.7,17.7,8,21.6,2.5,92,0,10.5,0,27.5,0,194.9,0,53,0,67,1014.3
21-Apr,2021,4,38,15.5,20.9,10.4,25.1,6,103.5,0,7,0,37,0,222.1,0,57,0,59,1013.9
21-May,2021,5,38,,,,,,,0,,0,,0,,0,,0,,
