ダウンロードした時刻：2021/05/19 13:54:36,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島,徳島
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Jun,2017,6,36,22.5,26.6,18.8,29.7,14.6,166,0,34.5,0,91.5,0,212.7,0,49,0,69,1008.4
17-Jul,2017,7,36,27.9,32,25.1,34.5,22,124,0,22,0,26,0,210.7,0,48,0,80,1008.9
17-Aug,2017,8,36,28.9,32.7,25.8,36.2,23.6,143,0,30,0,133.5,0,238.3,0,57,0,74,1006.4
17-Sep,2017,9,36,24.1,27.8,20.8,31.1,15.3,119.5,0,23,0,53.5,0,143.7,0,39,0,72,1010.9
17-Oct,2017,10,36,18.6,21.6,16,29.5,9.5,630,0,19.5,0,226.5,0,106.9,0,30,0,79,1017.2
17-Nov,2017,11,36,12.4,16.3,8.4,21.6,4.3,51.5,0,4,0,17.5,0,155.8,0,50,0,71,1019.7
17-Dec,2017,12,36,6.9,10.8,3.5,15.1,0.8,19,0,5.5,0,17,0,178,0,58,0,60,1020.6
18-Jan,2018,1,36,5.3,9,2,16.2,-2.1,37.5,0,4.5,0,14,0,171.2,0,55,0,65,1018.7
18-Feb,2018,2,36,5,8.9,1.5,15,-3.3,71,0,9.5,0,37,0,179.3,0,59,0,64,1019.8
18-Mar,2018,3,36,10.9,15.9,6.2,22.1,1.3,165,0,9.5,0,38.5,0,224.2,0,61,0,69,1018
18-Apr,2018,4,36,16.5,21.4,11.8,26.5,5.4,50.5,0,16.5,0,25,0,229.9,0,59,0,66,1015.2
18-May,2018,5,36,19.5,23.6,15.7,28.1,10.4,194,0,14.5,0,48.5,0,207.2,0,48,0,71,1011.8
18-Jun,2018,6,36,23,27.3,19.6,35.4,15.4,207,0,28.5,0,71.5,0,175.7,0,41,0,78,1008.4
18-Jul,2018,7,36,28.4,32.6,25.3,37.3,21.7,258.5,0,14,0,76.5,0,244.1,0,56,0,78,1008.8
18-Aug,2018,8,36,28.9,33.1,25.5,37.3,20.1,166.5,0,32.5,0,75,0,274.6,0,66,0,73,1008.1
18-Sep,2018,9,36,24.1,27.4,21.4,32,17,443,0,37.5,0,128.5,0,105.8,0,29,0,82,1011.3
18-Oct,2018,10,36,19.3,23.2,16,31,10.7,78.5,0,6,0,15.5,0,180,0,51,0,70,1016
18-Nov,2018,11,36,14.3,18.3,10.8,23.7,4.8,31.5,0,9,0,13,0,179.3,0,58,0,68,1020.5
18-Dec,2018,12,36,9.8,13.1,6.8,26.7,1.1,57,0,5,0,18.5,0,118.6,0,39,0,69,1021.6
19-Jan,2019,1,36,7.1,10.9,3.6,14.8,0.4,15.5,0,4.5,0,13.5,0,161.4,0,51,0,62,1020.5
19-Feb,2019,2,36,8.2,11.8,4.9,17.6,1.4,47.5,0,5.5,0,21,0,126.8,0,42,0,65,1020.3
19-Mar,2019,3,36,10.8,15.2,6.7,23.1,1.8,84,0,6,0,22.5,0,188.5,0,51,0,65,1014.9
19-Apr,2019,4,36,14.5,19.1,10.4,26.4,4.1,119.5,0,8,0,45.5,0,224.2,0,58,0,65,1013.7
19-May,2019,5,36,20.2,24.9,15.8,29.4,9.7,190,0,44.5,0,154.5,0,252.4,0,59,0,65,1012.3
19-Jun,2019,6,36,23.2,27.1,20,30.5,17.4,204,0,41.5,0,105.5,0,191.2,0,44,0,76,1006.4
19-Jul,2019,7,36,25.8,29.2,23.3,34.2,21.3,266.5,0,25,0,75.5,0,121.4,0,28,0,84,1007.6
19-Aug,2019,8,36,28,32,25.1,36.1,21.6,192.5,0,23,0,119,0,197.9,0,48,0,79,1007.2
19-Sep,2019,9,36,26.2,30.2,23.1,34.8,18.1,64,0,10.5,0,24,0,194.5,0,52,0,75,1013.6
19-Oct,2019,10,36,20.8,24.2,17.8,29.2,12.6,289,0,32.5,0,116,0,141,0,40,0,73,1015.1
19-Nov,2019,11,36,14.2,18.4,10.2,24.2,4.8,7.5,0,3,0,6.5,0,190.3,0,61,0,66,1019.6
19-Dec,2019,12,36,9.8,13.7,6.1,18.2,3.1,63,0,6,0,19,0,156.6,0,51,0,69,1021.5
20-Jan,2020,1,36,8.9,12.2,5.9,18.2,2.6,80,0,7,0,29,0,149.1,0,48,0,67,1018.6
20-Feb,2020,2,36,8.4,12.4,4.6,19.5,-0.4,30,0,2.5,0,12,0,159.6,0,50,0,63,1021.5
20-Mar,2020,3,36,11.3,15.6,7.2,22.9,1.9,82,0,11.5,0,26.5,0,190.9,0,52,0,67,1015.3
20-Apr,2020,4,36,13.8,18.5,9.4,24.4,5,117,0,11,0,40.5,0,251.8,0,65,0,58,1014.3
