ダウンロードした時刻：2021/05/19 13:43:17,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Sep,2015,9,13,22.6,26.4,19.8,31.5,16.1,503.5,0,34,0,156.5,0,113.3,0,30,0,79,1009.6
15-Oct,2015,10,13,18.4,22.7,14.8,28.1,10.3,57,0,19.5,0,22,0,181.3,0,52,0,66,1012.6
15-Nov,2015,11,13,13.9,17.8,10.7,23.7,3.9,139.5,0,12.5,0,38,0,120.1,0,39,0,74,1018.3
15-Dec,2015,12,13,9.3,13.4,5.8,24.1,1.9,82.5,0,18,0,64,0,162,0,54,0,57,1016.3
16-Jan,2016,1,13,6.1,10.6,1.8,16.2,-2.6,85,0,9,0,67,0,201.5,0,65,0,55,1013.2
16-Feb,2016,2,13,7.2,12.2,3.1,23,0.1,57,0,8.5,0,40.5,0,160.1,0,51,0,56,1015.8
16-Mar,2016,3,13,10.1,14.9,6.1,21.4,1.1,103,0,6,0,37,0,161.9,0,44,0,61,1016
16-Apr,2016,4,13,15.4,20.3,11.3,26.8,5.1,120,0,11.5,0,33,0,149.2,0,38,0,67,1010.7
16-May,2016,5,13,20.2,25.2,15.7,30.9,11.9,137.5,0,13,0,36.5,0,204.9,0,47,0,66,1010.5
16-Jun,2016,6,13,22.4,26.3,19.1,33,14.2,174.5,0,16.5,0,98.5,0,139.1,0,32,0,75,1006.6
16-Jul,2016,7,13,25.4,29.7,22.1,36.7,19,81.5,0,17,0,28.5,0,143.7,0,32,0,80,1007.3
16-Aug,2016,8,13,27.1,31.6,23.9,37.7,21.3,414,0,47.5,0,106.5,0,156.5,0,38,0,78,1002.3
16-Sep,2016,9,13,24.4,27.7,21.9,33,17.6,287,0,19.5,0,91.5,0,79.4,0,21,0,86,1010.7
16-Oct,2016,10,13,18.7,22.6,15.3,32,9.6,96.5,0,18,0,32.5,0,119.6,0,34,0,72,1014.8
16-Nov,2016,11,13,11.4,15.5,8.1,20.8,0.3,139,0,12,0,49,0,132.1,0,43,0,71,1016.2
16-Dec,2016,12,13,8.9,13.8,4.5,20.2,0,84,0,11.5,0,37,0,193.7,0,64,0,59,1015.1
17-Jan,2017,1,13,5.8,10.8,1.7,19.5,-2.3,26,0,4,0,20.5,0,226.7,0,73,0,53,1012.3
17-Feb,2017,2,13,6.9,12.1,2.6,20.6,-1.6,15.5,0,4.5,0,8,0,193.7,0,64,0,49,1011.2
17-Mar,2017,3,13,8.5,13.4,4.2,18.7,0,85.5,0,4.5,0,25.5,0,190.3,0,52,0,60,1011.5
17-Apr,2017,4,13,14.7,19.9,10.2,26.1,4.5,122,0,8,0,46,0,198.8,0,51,0,66,1009.9
17-May,2017,5,13,20,25.1,16,30.9,11.3,49,0,6.5,0,27,0,216.9,0,50,0,72,1009.5
17-Jun,2017,6,13,22,26.4,18.5,30.6,14.8,106.5,0,11,0,45.5,0,158.8,0,37,0,73,1005.6
17-Jul,2017,7,13,27.3,31.8,24,35,20.9,81,0,11.5,0,35,0,189.1,0,43,0,78,1006.2
17-Aug,2017,8,13,26.4,30.4,23.4,37.1,20,141.5,0,22.5,0,43.5,0,83.7,0,20,0,83,1004.9
17-Sep,2017,9,13,22.8,26.8,19.5,33.3,16,209.5,0,13.5,0,52,0,124.4,0,33,0,79,1008.8
17-Oct,2017,10,13,16.8,20.1,14.2,29,9.1,531.5,0,19.5,0,147.5,0,94.7,0,27,0,82,1015.6
17-Nov,2017,11,13,11.9,16.6,7.9,21.9,3.2,47,0,5.5,0,27,0,162.7,0,53,0,67,1014.6
17-Dec,2017,12,13,6.6,11.1,2.7,16,-0.2,15,0,6.5,0,10.5,0,211.1,0,70,0,56,1013.3
18-Jan,2018,1,13,4.7,9.4,0.6,16,-4,48.5,0,6.5,0,24,0,206.1,0,67,0,54,1011.4
18-Feb,2018,2,13,5.4,10.1,1.3,15.1,-1.8,20,0,1.5,0,9,0,167.3,0,55,0,56,1013.8
18-Mar,2018,3,13,11.5,16.9,6.5,24.2,1.7,220,0,18.5,0,58,0,198,0,54,0,65,1014.1
18-Apr,2018,4,13,17,22.1,12.4,28.3,5.5,109,0,17.5,0,57,0,201.8,0,52,0,66,1011.3
