ダウンロードした時刻：2021/05/19 13:48:08,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,津,津,津,津,津,津,津,津,津,津,津,津,津,津,津,津,津
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
17-Jul,2017,7,24,28,31.7,25.5,35.8,22.7,40,0,6.5,0,9,0,183.9,0,42,0,72,1007.5
17-Aug,2017,8,24,28.2,31.8,25.3,37.1,21.3,252.5,0,39,0,134,0,191.1,0,46,0,69,1005.1
17-Sep,2017,9,24,23.6,27.3,20.5,31.2,16.2,164.5,0,21.5,0,67,0,163.1,0,44,0,65,1009.5
17-Oct,2017,10,24,18.1,21,15.5,30.3,9.3,648,0,37,0,308,0,95,0,27,0,73,1015.5
17-Nov,2017,11,24,12,15.9,8.1,22.9,3.3,50,0,4,0,14.5,0,191.8,0,62,0,61,1017.6
17-Dec,2017,12,24,6.6,10.5,3.3,14.4,0.9,22.5,0,8.5,0,20.5,0,190.9,0,63,0,55,1017.7
18-Jan,2018,1,24,4.7,8.5,1.7,15,-2,50,0,4.5,0,25,0,173.7,0,56,0,57,1015.9
18-Feb,2018,2,24,5,9.3,1.2,15.1,-1.9,17,0,4.5,0,8,0,184.3,0,61,0,52,1017.3
18-Mar,2018,3,24,10.6,15.3,6,25.9,0.9,185.5,0,12,0,54.5,0,227.8,0,62,0,58,1016.1
18-Apr,2018,4,24,16.1,20.5,11.6,26.7,3.8,129.5,0,12,0,36,0,218.8,0,56,0,61,1013.6
18-May,2018,5,24,19.4,23.1,15.8,28.6,10.2,196,0,13.5,0,49.5,0,216.1,0,50,0,64,1010.3
18-Jun,2018,6,24,22.9,26.5,19.8,33.1,15.4,220.5,0,11,0,72.5,0,188.9,0,44,0,71,1007.2
18-Jul,2018,7,24,28.7,32.3,26,38.5,22.5,182,0,18.5,0,52,0,261.9,0,60,0,70,1008
18-Aug,2018,8,24,29.2,33.2,25.9,38.5,20.1,148,0,16,0,48,0,279.2,0,67,0,64,1006.9
18-Sep,2018,9,24,23.8,27.1,21.2,32.3,17.3,450.5,0,22.5,0,79.5,0,102.7,0,28,0,73,1010.5
18-Oct,2018,10,24,18.9,22.8,15.4,28.3,10.7,22,0,4,0,7.5,0,173.5,0,50,0,63,1014.4
18-Nov,2018,11,24,14.2,18.1,10.5,22.9,5,60.5,0,9,0,27,0,171.8,0,55,0,61,1018.4
18-Dec,2018,12,24,8.7,12.1,5.4,19,-0.1,58.5,0,6.5,0,15,0,127.2,0,42,0,63,1019.4
19-Jan,2019,1,24,6,9.8,2.7,13.3,-0.3,18.5,0,4.5,0,16.5,0,159.2,0,51,0,58,1017.8
19-Feb,2019,2,24,7.3,11.1,4,18.6,0,58,0,6,0,35.5,0,141.3,0,46,0,57,1018.1
19-Mar,2019,3,24,9.9,14,6,21.8,0.9,85,0,8,0,37.5,0,171.7,0,47,0,57,1012.9
19-Apr,2019,4,24,13.6,18,9.7,27.1,1.9,147,0,9,0,46.5,0,210.5,0,54,0,58,1012.1
19-May,2019,5,24,19.6,24,15.6,31.2,9.4,110.5,0,13.5,0,42,0,262.1,0,61,0,58,1011.3
19-Jun,2019,6,24,22.8,26.1,19.7,32.7,17.2,191,0,19,0,46.5,0,170,0,39,0,69,1005.3
19-Jul,2019,7,24,25.5,28.5,23.1,34.5,20.1,342.5,0,24.5,0,45,0,103.3,0,23,0,77,1006.9
19-Aug,2019,8,24,28.6,32.1,25.9,37.4,22.6,130,0,13.5,0,28,0,218.2,0,52,0,71,1006.6
19-Sep,2019,9,24,26.3,29.7,23.3,36.8,16.5,80,0,12,0,22.5,0,184.3,0,50,0,66,1012.6
19-Oct,2019,10,24,20.4,23.8,17.7,29.7,12.2,390.5,0,15.5,0,132.5,0,137,0,39,0,67,1013.6
19-Nov,2019,11,24,14,18.1,10,22.9,4.4,14,0,2.5,0,6,0,207,0,67,0,57,1017.4
19-Dec,2019,12,24,9.2,13,5.7,16,1.5,63,0,6,0,20,0,146.1,0,48,0,61,1019.4
20-Jan,2020,1,24,8.3,11.9,5.3,17.9,0.8,65,0,9,0,17,0,138.1,0,44,0,59,1016.4
20-Feb,2020,2,24,7.5,11.7,3.8,20.2,-0.9,44,0,5.5,0,13.5,0,165.8,0,53,0,57,1019.4
20-Mar,2020,3,24,10.4,14.6,6.7,20.9,1.5,128,0,11,0,36.5,0,196.4,0,53,0,58,1013.4
20-Apr,2020,4,24,13.1,17.8,9.1,22.1,5.2,153.5,0,13,0,55,0,236.1,0,61,0,52,1012.2
20-May,2020,5,24,20.2,24.1,16.5,29,12,143.5,0,18,0,45,0,213.6,0,50,0,63,1009.6
20-Jun,2020,6,24,24.3,27.9,21.1,33.5,17.5,220,0,16,0,55.5,0,157.1,0,36,0,68,1005.6
20-Jul,2020,7,24,25.2,28,23.1,33.4,20,318,0,18,0,38.5,0,86.1,0,20,0,78,1007.1
20-Aug,2020,8,24,29.8,33.6,26.6,37.8,23.6,96,0,33.5,0,75,0,289,0,70,0,67,1009.3
20-Sep,2020,9,24,25,28.4,22.3,32.9,17.3,250.5,0,31.5,0,68.5,0,134.8,0,36,0,71,1009.6
20-Oct,2020,10,24,18.2,22.1,15,27.6,8.8,343,0,19.5,0,75.5,0,188.2,0,54,0,63,1015.1
20-Nov,2020,11,24,14.2,18.1,10.3,22.9,6,20,0,4,0,11,0,182.1,0,59,0,60,1019.7
20-Dec,2020,12,24,8.4,12.6,4.8,16.8,0.1,5.5,0,1.5,0,3.5,0,187.2,0,61,0,57,1017.6
21-Jan,2021,1,24,5.7,9.7,2.6,14.4,-1.9,64,0,4,0,28.5,0,169,0,54,0,55,1017.7
21-Feb,2021,2,24,7.9,12.5,3.9,22,-0.8,73,0,16.5,0,65,0,193.9,0,64,0,53,1016.1
21-Mar,2021,3,24,11.5,16,7.6,25,3.1,186.5,0,10.5,0,45,0,190.6,0,52,0,61,1016.4
21-Apr,2021,4,24,14.9,19.2,11.1,26.3,6.2,139,0,10.5,0,62.5,0,225,0,58,0,58,1016.2
21-May,2021,5,24,,,,,,,0,,0,,0,,0,,0,,
