ダウンロードした時刻：2021/05/19 13:46:47,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜,岐阜
年月,,,,平均気温(℃),日最高気温の平均(℃),日最低気温の平均(℃),最高気温(℃),最低気温(℃),降水量の合計(mm),降水量の合計(mm),1時間降水量の最大(mm),1時間降水量の最大(mm),日降水量の最大(mm),日降水量の最大(mm),日照時間(時間),日照時間(時間),日照率(％),日照率(％),平均湿度(％),平均現地気圧(hPa)
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,現象なし情報,,
date,year,month,prefecture_num,average_temp,highest_temp_day,lowest_temp_day,highest_temp,lowest_temp,sum_rain1,sum_rain2,max_rain_hour1,max_rain_hour2,max_rain_day1,max_rain_day2,sunlight_hour1,sunlight_hour2,sunlight_percent1,sunlight_percent2,humidity,humidity_hPa
15-Aug,2015,8,21,28.2,33.2,24.6,38.7,20.9,388.5,0,28.5,0,115,0,198.2,0,48,0,70,1006.7
15-Sep,2015,9,21,23,27.6,19.5,31.1,15.4,316.5,0,21,0,73.5,0,163.3,0,44,0,72,1010.1
15-Oct,2015,10,21,18.2,23.7,13.1,28,8,79.5,0,19,0,23.5,0,242.8,0,69,0,61,1014.6
15-Nov,2015,11,21,14.2,18.4,10.4,24.8,3.9,169,0,9,0,35,0,127.7,0,41,0,74,1019.4
15-Dec,2015,12,21,9.2,13.8,5.2,22.1,-0.2,135,0,34.5,0,84.5,0,159.6,0,53,0,65,1019
16-Jan,2016,1,21,5.7,10.1,1.7,15.6,-5,67.5,0,4,0,36,0,172.9,0,56,0,64,1017
16-Feb,2016,2,21,6.3,10.9,2,18.2,-2.3,90.5,0,9,0,28,0,178.8,0,57,0,58,1019
16-Mar,2016,3,21,10.4,16.1,5.3,22.6,-0.8,107,0,11.5,0,51.5,0,229.3,0,62,0,54,1017.7
16-Apr,2016,4,21,15.7,20.8,11,27.6,3.9,256,0,17,0,86.5,0,163,0,42,0,62,1012.3
16-May,2016,5,21,20.6,26.1,16,33.3,11.4,186,0,10.5,0,23,0,211.7,0,49,0,62,1011.6
16-Jun,2016,6,21,23.1,27.9,19.3,33.5,13.3,271,0,15,0,36,0,158.3,0,37,0,70,1007.5
16-Jul,2016,7,21,27,31.7,23.4,35.8,20.6,184.5,0,28,0,62,0,181.8,0,41,0,70,1008.1
16-Aug,2016,8,21,28.9,34.3,25,38.5,20.4,108.5,0,52,0,52,0,238.3,0,57,0,67,1002.7
16-Sep,2016,9,21,25.3,29.2,22.4,34.5,16.5,352,0,22,0,96.5,0,102,0,27,0,77,1010.8
16-Oct,2016,10,21,19.5,24.2,15.3,29.8,8.3,178,0,13.5,0,38.5,0,156.3,0,45,0,68,1015.6
16-Nov,2016,11,21,12.6,17.1,8.5,21.9,3.4,94.5,0,7,0,21.5,0,161.3,0,52,0,65,1017.7
16-Dec,2016,12,21,8,12.7,3.9,17.9,-0.6,92.5,0,9,0,39.5,0,180.8,0,60,0,66,1018.7
17-Jan,2017,1,21,4.5,9.3,0.4,14.1,-3.1,51.5,0,4.5,0,19,0,182.4,0,59,0,66,1016.5
17-Feb,2017,2,21,5,9.6,1.1,15.6,-2,60.5,0,7.5,0,21.5,0,169.7,0,56,0,61,1015.7
17-Mar,2017,3,21,8.3,13.6,3.6,20,-0.5,85.5,0,5.5,0,43,0,216.6,0,59,0,56,1014.2
17-Apr,2017,4,21,14.7,20,9.9,26.6,3.8,180,0,11,0,59,0,202.2,0,52,0,59,1011.7
17-May,2017,5,21,20.6,26.1,15.5,33.3,9.1,81,0,9.5,0,32,0,221.7,0,51,0,58,1011
17-Jun,2017,6,21,22.4,27.6,17.9,32.5,13.7,176.5,0,20.5,0,77,0,229.5,0,53,0,61,1006.9
