date,prefecture_num,year,month, pm25, pm10, no2, so2, co
2020/10/6,2,2020,10,38,9,2, ,1
2020/10/7,2,2020,10,36,8,3, ,2
2020/10/8,2,2020,10,36,10,4, ,2
2020/10/9,2,2020,10,45,8,3, ,1
2020/10/10,2,2020,10,46,6,1, ,1
2020/10/11,2,2020,10,26,9,4, ,1
2020/10/12,2,2020,10,27,11,2, ,1
2020/10/13,2,2020,10,43,9,2, ,1
2020/10/14,2,2020,10,40,8,2, ,1
2020/10/15,2,2020,10,40,11,4, ,2
2020/10/16,2,2020,10,41,9,5, ,2
2020/10/17,2,2020,10,37,14,7,1,2
2020/10/18,2,2020,10,50,10,5,1,2
2020/10/19,2,2020,10,46,12,6, ,2
2020/10/20,2,2020,10,50,11,7, ,2
2020/10/21,2,2020,10,51,14,12, ,3
2020/10/22,2,2020,10,56,14,8, ,3
2020/10/23,2,2020,10,53,10,1, ,2
2020/10/24,2,2020,10,45,12,1,1,2
2020/10/25,2,2020,10,49,10,3, ,2
2020/10/26,2,2020,10,39,7,3, ,3
2020/10/27,2,2020,10,36,9,7, ,3
2020/10/28,2,2020,10,43,10,2, ,3
2020/10/29,2,2020,10,47,7,5, ,3
2020/10/30,2,2020,10,39,11,6, ,4
2020/10/31,2,2020,10,43,12,5, ,3
2020/11/1,2,2020,11,48,9,6, ,5
2020/11/2,2,2020,11,44,9,3, ,3
2020/11/3,2,2020,11,45,10,2, ,4
2020/11/4,2,2020,11,40,11,2, ,4
2020/11/5,2,2020,11,48,15,5, ,4
2020/11/6,2,2020,11,52,13,3, ,3
2020/11/7,2,2020,11,56,20,1, ,4
2020/11/8,2,2020,11,63,9,3, ,4
2020/11/9,2,2020,11,35,9,5, ,4
2020/11/10,2,2020,11,31,11,6, ,3
2020/11/11,2,2020,11,33,10,9, ,5
2020/11/12,2,2020,11,47,14,10, ,5
2020/11/13,2,2020,11,55,15,5, ,5
2020/11/14,2,2020,11,55,13,9, ,4
2020/11/15,2,2020,11,44,15,4, ,5
2020/11/16,2,2020,11,47,9,6, ,4
2020/11/17,2,2020,11,33,14,15, ,8
2020/11/18,2,2020,11,44,15,10,1,5
2020/11/19,2,2020,11,59,9,2, ,6
2020/11/20,2,2020,11,38,7,2, ,4
2020/11/21,2,2020,11,26,7,3, ,4
2020/11/22,2,2020,11,26,9,2, ,4
2020/11/23,2,2020,11,33,9,5,1,5
2020/11/24,2,2020,11,40,12,7, ,6
2020/11/25,2,2020,11,42,9,3,1,5
2020/11/26,2,2020,11,43,9,6,1,5
2020/11/27,2,2020,11,30,7,6, ,6
2020/11/28,2,2020,11,30,10,5, ,5
2020/11/29,2,2020,11,40,7,5, ,5
2020/11/30,2,2020,11,37,8,3, ,5
2020/12/1,2,2020,12,39,15,5, ,6
2020/12/2,2,2020,12,44,6,4, ,6
2020/12/3,2,2020,12,31,8,5, ,6
2020/12/4,2,2020,12,37,9,8, ,6
2020/12/5,2,2020,12,36,9,8, ,7
2020/12/6,2,2020,12,38,10,6, ,6
2020/12/7,2,2020,12,46,10,5, ,6
2020/12/8,2,2020,12,46,8,6, ,6
2020/12/9,2,2020,12,38,8,11,1,8
2020/12/10,2,2020,12,27,13,13, ,8
2020/12/11,2,2020,12,48,13,6, ,7
2020/12/12,2,2020,12,50,12,4, ,6
2020/12/13,2,2020,12,41,9,3, ,6
2020/12/14,2,2020,12,33,9,3, ,6
2020/12/15,2,2020,12,31,9,6, ,7
2020/12/16,2,2020,12,28,8,4, ,7
2020/12/17,2,2020,12,33,10,6, ,8
2020/12/18,2,2020,12,32,10,4, ,7
2020/12/19,2,2020,12,40,9,7, ,7
2020/12/20,2,2020,12,32,10,6, ,8
2020/12/21,2,2020,12,39,12,13, ,9
2020/12/22,2,2020,12,47,13,19, ,10
2020/12/23,2,2020,12,44,21,19, ,10
2020/12/24,2,2020,12,66,24,4, ,8
2020/12/25,2,2020,12,68,13,3, ,7
2020/12/26,2,2020,12,45,11,12, ,10
2020/12/27,2,2020,12,47,23,19, ,11
2020/12/28,2,2020,12,75,15,8, ,9
2020/12/29,2,2020,12,52,8,6, ,8
2020/12/30,2,2020,12,31,9,2, ,7
2020/12/31,2,2020,12,33,11,2, ,7
2021/1/1,2,2021,1,34,11,4, ,7
2021/1/2,2,2021,1,31,10,4, ,8
2021/1/3,2,2021,1,33,9,5, ,8
2020/7/1,2,2020,7,38,10,6, ,1
2020/7/2,2,2020,7,37,13,4,1, 
2020/7/3,2,2020,7,38,12,4, ,1
2020/7/4,2,2020,7,44,7,2, , 
2020/7/5,2,2020,7,34,13,3, , 
2020/7/6,2,2020,7,44,11,4, , 
2020/7/7,2,2020,7,33,12,5, , 
2020/7/8,2,2020,7,32,10,2,1, 
2020/7/9,2,2020,7,42,16,4, , 
2020/7/10,2,2020,7,56,9,2, , 
2020/7/11,2,2020,7,29,8,1, , 
2020/7/12,2,2020,7,35,10,2, , 
2020/7/13,2,2020,7,46,9,1, , 
2020/7/14,2,2020,7,44,6,1, ,2
2020/7/15,2,2020,7,25,9,1, ,1
2020/7/16,2,2020,7,38,10,2, ,1
