date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2021/1/3,8,2021,1,42,3,5,4,1
2020/9/13,8,2020,9,13,5,19,3,1
2020/9/14,8,2020,9,17,6,18,3,1
2020/9/15,8,2020,9,20,6,19,3,1
2020/9/16,8,2020,9,21,8,22,4,1
2020/9/17,8,2020,9,29,10,23,4,1
2020/9/18,8,2020,9,28,4,25,4,1
2020/9/19,8,2020,9,22, , , , 
2020/4/1,8,2020,4,26, , , , 
2020/1/1,8,2020,1,27,4,28,3,1
2020/1/2,8,2020,1,35,4,29,3,1
2020/1/3,8,2020,1,47,8,31,4,1
2020/1/4,8,2020,1,37,4,31,4, 
2020/1/5,8,2020,1,35,5,27,6,1
2020/1/6,8,2020,1,29,7,25,7,1
2020/1/7,8,2020,1,29,6,18,8,1
2020/1/8,8,2020,1,27,3,28,7, 
2020/1/9,8,2020,1,37,6,29,6,1
2020/1/10,8,2020,1,28,10,19,7,1
2020/1/11,8,2020,1,38,7,32,5,1
2020/1/12,8,2020,1,32,10,32,4,1
2020/1/13,8,2020,1,34,9,29,8,1
2020/1/14,8,2020,1,39,4,23,6,1
2020/1/15,8,2020,1,24,8,27,10,1
2020/1/16,8,2020,1,33,7,27,4,1
2020/1/17,8,2020,1,20,6,30,2,1
2020/1/18,8,2020,1,20,9,34,5,1
2020/1/19,8,2020,1,39,10,31,8,1
2020/1/20,8,2020,1,45,6,31,6,1
2020/1/21,8,2020,1,23,8,25,9,1
2020/1/22,8,2020,1,47,17,14,13,1
2020/1/23,8,2020,1,57,11,28,9, 
2020/1/24,8,2020,1,36,6,31,4,1
2020/1/25,8,2020,1,28,10,26,5,1
2020/1/26,8,2020,1,36,9,28,5,1
2020/1/27,8,2020,1,32,3,34,2, 
2020/1/28,8,2020,1,21,5,34,5,1
2020/1/29,8,2020,1,22,5,29,5,1
2020/1/30,8,2020,1,37,3,31,5,1
2020/1/31,8,2020,1,34,4,31,5,1
2020/2/1,8,2020,2,37,4,34,4,1
2020/2/2,8,2020,2,50,12,31,8,1
2020/2/3,8,2020,2,39,5,30,6,103
2020/2/4,8,2020,2,26,7,35,3,1
2020/2/5,8,2020,2,48,2,29,3,1
2020/2/6,8,2020,2,26,5,30,7,1
2020/2/7,8,2020,2,37,14,18,6, 
2020/2/8,8,2020,2,13,6,31,3, 
2020/2/10,8,2020,2,46,6,35,4, 
2020/2/11,8,2020,2,35,10,35,5,1
2020/2/12,8,2020,2,36,13,31,14,1
2020/2/13,8,2020,2,57,9,36,8, 
2020/2/14,8,2020,2,32,11,37,8,1
2020/2/15,8,2020,2,48,18,17, , 
2020/2/16,8,2020,2,38,6,29,8,1
2020/2/17,8,2020,2,14,3,33,3,1
2020/2/18,8,2020,2,45,2,36,3,1
2020/2/19,8,2020,2,60,9,35,5,1
2020/2/20,8,2020,2,33,8,37,7,1
2020/2/21,8,2020,2,39,10,20,5, 
2020/2/22,8,2020,2,37, , , , 
2020/2/25,8,2020,2,74,6,34,4,1
2020/2/26,8,2020,2,29,1,32,2, 
2020/2/27,8,2020,2,37,4,31,8,1
2020/2/28,8,2020,2,32, , , , 
2020/3/2,8,2020,3,14,6,7,6, 
2020/3/3,8,2020,3,12,7,26,6,1
2020/3/4,8,2020,3,18,4,33,3, 
2020/3/5,8,2020,3,24,6,36,3,1
2020/3/6,8,2020,3,39,9,38,3,1
2020/3/7,8,2020,3,36,8,30,1, 
2020/3/8,8,2020,3,38,6,33,3,1
2020/3/9,8,2020,3,34,9,33,5,1
2020/3/10,8,2020,3,24,7,41,3, 
2020/3/11,8,2020,3,36,4,39,6, 
2020/3/12,8,2020,3,38,9,36,7,2
2020/3/13,8,2020,3,31, , , , 
2020/3/16,8,2020,3,48,3,21,7,1
2020/3/17,8,2020,3,7,8,45,4,1
2020/3/18,8,2020,3,67,14,45,5,1
2020/3/19,8,2020,3,61, , , , 
2020/3/23,8,2020,3,32,5,34,3,1
2020/3/24,8,2020,3,31,3,39,5,1
2020/3/25,8,2020,3,44,9,48,9,1
2020/3/26,8,2020,3,53,15,39,9,2
2020/3/27,8,2020,3,55,10,36,3,1
2020/3/28,8,2020,3,30,6,28,1, 
2020/3/29,8,2020,3,5, , , , 
2019/10/1,8,2019,10,55,22,50,4,2
2019/10/2,8,2019,10,60,20,42,4,1
2019/10/3,8,2019,10,59,18,39,4,1
2019/10/4,8,2019,10,46,12,41,3,1
2019/10/5,8,2019,10,52,7,23,3,1
2019/10/6,8,2019,10,19,7,26,3,1
2019/10/7,8,2019,10,32,11,22,5,1
2019/10/8,8,2019,10,41,8,32,5,1
2019/10/9,8,2019,10,57,8,35,3,1
2019/10/10,8,2019,10,47,11,23,5,1
2019/10/11,8,2019,10,34,20,22,1, 
2019/10/12,8,2019,10,28,7,30,1, 
2019/10/13,8,2019,10,56,11,29,2,1
2019/10/14,8,2019,10,28,8,31,3,1
2019/10/15,8,2019,10,25,11,32,5,1
2019/10/16,8,2019,10,27,14,40,5,1
2019/10/17,8,2019,10,51,12,30,5,1
2019/10/18,8,2019,10,5,9,22,4,1
2019/10/21,8,2019,10,23,7,35,1, 
2019/10/22,8,2019,10,13,7,34,4,1
2019/10/23,8,2019,10,45,13,36,3,1
2019/10/24,8,2019,10,25,14,37,2, 
2019/10/25,8,2019,10,28,9,31,6,1
2019/10/26,8,2019,10,39,11,26,3,1
2019/10/27,8,2019,10,28,10,33,5,1
2019/10/28,8,2019,10,40,7,17,6, 
2019/10/29,8,2019,10,24,7,23,7,1
2019/10/30,8,2019,10,32,19,36,7,1
2019/10/31,8,2019,10,51,19,34,7,1
2019/11/1,8,2019,11,52,8,24,3,1
2019/11/2,8,2019,11,62, , , , 
2019/11/7,8,2019,11,34,10,35,4,1
2019/11/8,8,2019,11,40,6,34,5,1
2019/11/9,8,2019,11,34,6,31,4,1
2019/11/10,8,2019,11,37,9,32,8,1
2019/11/11,8,2019,11,38,14,33,8,1
2019/11/12,8,2019,11,46,10,31,6,1
2019/11/13,8,2019,11,36,8,31,5,1
2019/11/14,8,2019,11,47,7,29,6,1
2019/11/15,8,2019,11,38,11,36,6,1
2019/11/16,8,2019,11,41,7,32,3, 
2019/11/17,8,2019,11,35,12,28,10,2
2019/11/18,8,2019,11,48,10,33,5,1
2019/11/19,8,2019,11,42,4,28,3, 
2019/11/20,8,2019,11,28,5,29,5,1
2019/11/21,8,2019,11,34,7,19,6, 
2019/11/22,8,2019,11,33,4,29,2, 
2019/11/23,8,2019,11,19,3,20,4, 
2019/11/24,8,2019,11,26,9,26,4,2
2019/11/25,8,2019,11,37,6,29,5,1
2019/11/26,8,2019,11,20,7,20,5,1
2019/11/27,8,2019,11,34,5,27,3,1
2019/11/28,8,2019,11,23,4,29,7,1
2019/11/29,8,2019,11,29,8,31,9, 
2019/11/30,8,2019,11,39,17,30,8,1
2019/12/1,8,2019,12,57,20,13,13,1
2019/12/2,8,2019,12,62,4,29,5,1
2019/12/3,8,2019,12,37,6,31,7,1
2019/12/4,8,2019,12,45,4,30,4,2
2019/12/5,8,2019,12,49,4,26,4,1
2019/12/6,8,2019,12,23,9,21,6, 
2019/12/7,8,2019,12,37,10,30,5, 
2019/12/8,8,2019,12,48,8,25,6,1
2019/12/9,8,2019,12,42,7,26,7, 
2019/12/10,8,2019,12,42,14,18,9,1
2019/12/11,8,2019,12,43,10,28,6,1
2019/12/12,8,2019,12,48,12,21,11,1
2019/12/13,8,2019,12,45,17,25,9,2
2019/12/14,8,2019,12,49,7,28,8,1
2019/12/15,8,2019,12,30,12,26,10,1
2019/12/16,8,2019,12,42,18,14,10,1
2019/12/17,8,2019,12,61,8,27,8,1
2019/12/18,8,2019,12,37,11,23,8,1
2019/12/19,8,2019,12,30,6,27,5, 
2019/12/20,8,2019,12,39,6,21,4,1
2019/12/21,8,2019,12,25,7,30,4,1
2019/12/22,8,2019,12,31,5,29,8,1
2019/12/23,8,2019,12,34,5,30,7, 
2019/12/24,8,2019,12,27,4,22,10,1
2019/12/25,8,2019,12,17,12,31,9,1
2019/12/26,8,2019,12,49,8,31,3, 
2019/12/27,8,2019,12,31,5,32,7,1
2019/12/28,8,2019,12,32,7,29,8,1
2019/12/29,8,2019,12,40, , , , 
2019/7/1,8,2019,7,31,22,47,7,1
2019/7/2,8,2019,7,55,19,38,5,2
2019/7/3,8,2019,7,49,9,51,5,1
2019/7/4,8,2019,7,19,10,47,3,1
2019/7/5,8,2019,7,32,7,33,2,1
2019/7/6,8,2019,7,27,6,39,1, 
2019/7/7,8,2019,7,17,6,32,2,1
2019/7/8,8,2019,7,41,8,30,3,1
2019/7/9,8,2019,7,25,8,33,3,2
2019/7/10,8,2019,7,39,8,30,3,1
2019/7/11,8,2019,7,42,10,33,3,1
2019/7/12,8,2019,7,33,12,37,4,1
2019/7/13,8,2019,7,43,11,45,3,1
2019/7/14,8,2019,7,19,7,23,1,1
2019/7/15,8,2019,7,24,11,20,3,2
2019/7/16,8,2019,7,35,8,30,4,1
2019/7/17,8,2019,7,43,19,30,5,1
2019/7/18,8,2019,7,45,14,36,5,1
2019/7/19,8,2019,7,55,11,37,3,1
2019/7/20,8,2019,7,48,9,25,4,2
2019/7/21,8,2019,7,27,7,16,6,1
2019/7/22,8,2019,7,25,20,31,7,2
2019/7/23,8,2019,7,44,9,19,4,1
2019/7/24,8,2019,7,38,24,42,5,1
2019/7/25,8,2019,7,57,19,22,4,1
