date,prefecture_num,year,month, pm25, pm10, o3, no2, so2
2021/3/21,30,2021,3,32,20,35,10,2
2021/3/22,30,2021,3,57,16,40,12,3
2021/3/23,30,2021,3,54,16,43,12,4
2021/3/24,30,2021,3,51,14,29,17,1
2021/3/25,30,2021,3,46,21,47,16,4
2021/3/26,30,2021,3,63,25,55,16,8
2021/3/27,30,2021,3,72,16,51,19,1
2021/3/28,30,2021,3,49,16,61,20,1
2021/3/29,30,2021,3,42, ,56,7, 
2021/2/1,30,2021,2,56,19,37,7,6
2021/2/2,30,2021,2,57,14,34,5,3
2021/2/3,30,2021,2,54,19,36,9,7
2021/2/4,30,2021,2,61,13,34,11,6
2021/2/5,30,2021,2,49,13,35,11,2
2021/2/6,30,2021,2,51,23,41,9,6
2021/2/7,30,2021,2,69,23,32,8,3
2021/2/8,30,2021,2,66,9,30,6,1
2021/2/9,30,2021,2,32,13,36,9,2
2021/2/10,30,2021,2,48,20,42,9,1
2021/2/11,30,2021,2,64,28,29,17,2
2021/2/12,30,2021,2,77,21,30,13,10
2021/2/13,30,2021,2,62,15,31,9,5
2021/2/14,30,2021,2,45,20,37,7,6
2021/2/15,30,2021,2,55,18,35,3,8
2021/2/16,30,2021,2,53,23,32,2,12
2021/2/17,30,2021,2,65,18,30,2,12
2021/2/18,30,2021,2,59,10,32,8,4
2021/2/19,30,2021,2,40,17,40,12,8
2021/2/20,30,2021,2,56,26,49,12,6
2021/2/21,30,2021,2,74,24,25,9,2
2021/2/22,30,2021,2,69, , , , 
2021/1/4,30,2021,1,40,16,22,11,1
2021/1/5,30,2021,1,53,13,32,5,8
2021/1/6,30,2021,1,46,15,30,4,8
2021/1/7,30,2021,1,46,14,28,2,10
2021/1/8,30,2021,1,50,14,30,4,13
2021/1/9,30,2021,1,51,19,29,3,14
2021/1/10,30,2021,1,62,10,26,7,1
2021/1/11,30,2021,1,42,15,16,14,1
2021/1/12,30,2021,1,51,18,29,12,3
2021/1/13,30,2021,1,61,27,34,11,2
2021/1/14,30,2021,1,71,26,25,19,7
2021/1/15,30,2021,1,81,16,27,12,1
2021/1/16,30,2021,1,65,14,32,4,8
2021/1/17,30,2021,1,47,13,31,7,8
2021/1/18,30,2021,1,43,11,30,5,2
2021/1/19,30,2021,1,41,10,27,13,1
2021/1/20,30,2021,1,37,19,27,18,5
2021/1/21,30,2021,1,63,30,10,21,1
2021/1/22,30,2021,1,79,12,28,11,1
2021/1/23,30,2021,1,42,8,29,5,1
2021/1/24,30,2021,1,23,13,31,9,1
2021/1/25,30,2021,1,41,15,31,11,1
2021/1/26,30,2021,1,50,15,32,10,1
2021/1/27,30,2021,1,46,15,25,12,2
2021/1/28,30,2021,1,58,14,32,2,7
2021/1/29,30,2021,1,46,16,32,6,5
2021/1/30,30,2021,1,48,23,34,8,2
2021/1/31,30,2021,1,66,20,38,8,3
2020/10/1,30,2020,10,30,15,44,7,3
2020/10/2,30,2020,10,44,17,45,6,4
2020/10/3,30,2020,10,50,18,35,7,4
2020/10/4,30,2020,10,52,19,38,5,2
2020/10/5,30,2020,10,53,13,33,5,3
2020/10/6,30,2020,10,38,14,36,5,1
2020/10/7,30,2020,10,44,8,35,5,1
2020/10/8,30,2020,10,20,7,35,8,1
2020/10/9,30,2020,10,13,6,33,4,1
2020/10/10,30,2020,10,13,13,36,3,1
2020/10/11,30,2020,10,36,15,35,6,2
2020/10/12,30,2020,10,41,15,39,6,1
2020/10/13,30,2020,10,47,16,45,5,2
2020/10/14,30,2020,10,51,12,44,4,3
2020/10/15,30,2020,10,36,13,36,6,1
2020/10/16,30,2020,10,37,8,31,3,1
2020/10/17,30,2020,10,23,9,33,5,1
2020/10/18,30,2020,10,32,12,22,8,1
2020/10/19,30,2020,10,36,15,45,6,1
2020/10/20,30,2020,10,47,17,39,7,3
2020/10/21,30,2020,10,52,14,31,5,1
2020/10/22,30,2020,10,40,16,37,5,2
2020/10/23,30,2020,10,42,17,40,4,7
2020/10/24,30,2020,10,50,12,42,4,2
2020/10/25,30,2020,10,43,17,41,7,2
2020/10/26,30,2020,10,56,14,38,8,2
2020/10/27,30,2020,10,50,19,36,11,2
2020/10/28,30,2020,10,59,21,41,6,1
2020/10/29,30,2020,10,62,11,31,4,1
2020/10/30,30,2020,10,37,14,34,6,1
2020/10/31,30,2020,10,46,15,34,8,5
2020/11/1,30,2020,11,48,13,28,11,1
2020/11/2,30,2020,11,38,18,35,4,3
2020/11/3,30,2020,11,48,12,34,4,1
2020/11/4,30,2020,11,41,12,32,8,1
2020/11/5,30,2020,11,46,17,26,13,6
2020/11/6,30,2020,11,55,21,17,11,1
2020/11/7,30,2020,11,51,28,44,6,7
2020/11/8,30,2020,11,67,16,37,4,3
2020/11/9,30,2020,11,43,10,31,5,2
2020/11/10,30,2020,11,34,9,28,6,1
2020/11/11,30,2020,11,32,16,24,13,1
2020/11/12,30,2020,11,49,20,18,14,1
2020/11/13,30,2020,11,57,16,33,8,1
2020/11/14,30,2020,11,50,19,25,9,4
2020/11/15,30,2020,11,55,20,29,10,2
2020/11/16,30,2020,11,55,22,33,12,2
2020/11/17,30,2020,11,66,25,36,12,4
2020/11/18,30,2020,11,67,18,32,7,3
2020/11/19,30,2020,11,51,21,37,9,6
2020/11/20,30,2020,11,53,10,33,4,1
2020/11/21,30,2020,11,34,13,21,8,3
2020/11/22,30,2020,11,38,11,29,5,2
2020/11/23,30,2020,11,35,11,29,7,1
2020/11/24,30,2020,11,37,16,14,14,1
2020/11/25,30,2020,11,49,13,28,10,1
2020/11/26,30,2020,11,45,17,31,10,3
2020/11/27,30,2020,11,51,15,29,5,4
2020/11/28,30,2020,11,40,9,26,5,1
2020/11/29,30,2020,11,39,13,31,8,3
2020/11/30,30,2020,11,46,12,29,8,1
2020/12/1,30,2020,12,44,11,26,10,1
2020/12/2,30,2020,12,38,10,31,8,1
2020/12/3,30,2020,12,37,9,29,8,1
2020/12/4,30,2020,12,33,15,28,8,1
2020/12/5,30,2020,12,47,12,34,5,1
2020/12/6,30,2020,12,47,16,28,10,1
2020/12/7,30,2020,12,55,23,35,11,2
2020/12/8,30,2020,12,67,22,29,11,1
2020/12/9,30,2020,12,62,16,29,9,1
2020/12/10,30,2020,12,52,14,29,13,1
2020/12/11,30,2020,12,54,22,39,7,5
2020/12/12,30,2020,12,64,17,35,6,3
2020/12/13,30,2020,12,55,15,30,4,7
2020/12/14,30,2020,12,46,10,28,2,10
2020/12/15,30,2020,12,37,19,29,1,15
2020/12/16,30,2020,12,53,8,28,6,5
2020/12/17,30,2020,12,28,17,27,10,8
2020/12/18,30,2020,12,50,14,28,5,1
2020/12/19,30,2020,12,44,7,32,4,3
2020/12/20,30,2020,12,25,11,32,6,6
2020/12/21,30,2020,12,43,15,33,10,2
2020/12/22,30,2020,12,57,22,32,12,2
2020/12/23,30,2020,12,70,26,17,15,1
2020/12/24,30,2020,12,73,16,31,7,6
2020/12/25,30,2020,12,49,11,28,8,2
2020/12/26,30,2020,12,42,16,24,10,2
2020/12/27,30,2020,12,57,18,21,11,1
2020/12/28,30,2020,12,55,19,30,9,3
2020/12/29,30,2020,12,57,14,32,4,7
2020/12/30,30,2020,12,44,12,30,1,14
2020/12/31,30,2020,12,39,13,31,1,11
2021/1/1,30,2021,1,43,17,32,4,4
2021/1/2,30,2021,1,40,18,32,2,10
2021/1/3,30,2021,1,45,14,32,6,1
2020/7/1,30,2020,7,59,11,37,4,1
2020/7/2,30,2020,7,33,14,24,6,2
2020/7/3,30,2020,7,37,28,22,6,7
2020/7/4,30,2020,7,52,22,35,7,3
2020/7/5,30,2020,7,53,25,11,6,5
2020/7/6,30,2020,7,49,29,12,5,6
2020/7/7,30,2020,7,43,20,30,6,2
2020/7/8,30,2020,7,41,14,22,8,2
2020/7/9,30,2020,7,36,22,8,7,2
2020/7/10,30,2020,7,41,31,23,8,6
2020/7/11,30,2020,7,58,16,37,5,2
2020/7/12,30,2020,7,36,15,18,5,1
2020/7/13,30,2020,7,38,27,32,8,4
2020/7/14,30,2020,7,51,15,32,6,2
2020/7/15,30,2020,7,35,15,49,9,2
2020/7/16,30,2020,7,42,18,30,12,1
2020/7/17,30,2020,7,41,14,41,10,2
2020/7/18,30,2020,7,44,25,31,5,7
2020/7/19,30,2020,7,60,40,30,14,11
2020/7/20,30,2020,7,80,32,35,6,3
2020/7/21,30,2020,7,74,23,44,8,2
2020/7/22,30,2020,7,51,21,38,6,3
2020/7/23,30,2020,7,44,21,14,4,3
2020/7/24,30,2020,7,44,15,31,6,2
2020/7/25,30,2020,7,34,16,31,7,1
2020/7/26,30,2020,7,35,16,15,5,3
2020/7/27,30,2020,7,37,23,9,6,3
2020/7/28,30,2020,7,49,22,24,11,4
2020/7/29,30,2020,7,50,18,39,10,8
2020/7/30,30,2020,7,50,21,38,11,4
2020/7/31,30,2020,7,55,20,46,5,2
2020/8/1,30,2020,8,50,29,44,11,6
2020/8/2,30,2020,8,65,32,26,7,12
2020/8/3,30,2020,8,70,44,26,5,6
2020/8/4,30,2020,8,90,48,32,9,7
2020/8/5,30,2020,8,100,26,19,8,6
2020/8/6,30,2020,8,61,41,22,10,5
2020/8/7,30,2020,8,69,51,14,6,9
2020/8/8,30,2020,8,99,29,12,5,9
2020/8/9,30,2020,8,65,23,11,5,6
2020/8/10,30,2020,8,53,26,15,7,10
2020/8/11,30,2020,8,52,24,26,12,11
2020/8/12,30,2020,8,50,26,33,9,7
2020/8/13,30,2020,8,56,31,41,10,5
2020/8/14,30,2020,8,65,35,43,6,9
2020/8/15,30,2020,8,71,27,48,6,2
2020/8/16,30,2020,8,65,27,57,6,2
2020/8/17,30,2020,8,71,28,55,7,2
2020/8/18,30,2020,8,66,32,69,10,3
2020/8/19,30,2020,8,71,35,34,8,4
2020/8/20,30,2020,8,69,41,58,9,3
2020/8/21,30,2020,8,74,33,51,5,2
2020/8/22,30,2020,8,68,26,43,6,3
2020/8/23,30,2020,8,59,33,48,9,4
2020/8/24,30,2020,8,72,31,32,6,8
2020/8/25,30,2020,8,68,23,31,7,6
2020/8/26,30,2020,8,57,18,27,7,5
2020/8/27,30,2020,8,49,18,29,9,5
2020/8/28,30,2020,8,43,21,31,6,5
2020/8/29,30,2020,8,44,28,34,5,4
2020/8/30,30,2020,8,60,24,48,6,4
2020/8/31,30,2020,8,46,21,37,6,5
2020/9/1,30,2020,9,41,14,19,5,2
2020/9/2,30,2020,9,35,27,23,6,2
2020/9/3,30,2020,9,49,23,26,7,3
2020/9/4,30,2020,9,47,21,40,5,4
2020/9/5,30,2020,9,48,14,21,3,3
2020/9/6,30,2020,9,33,26,20,2, 
2020/9/7,30,2020,9,47, , , , 
2020/9/13,30,2020,9,33,11,34,3,2
2020/9/14,30,2020,9,31,12,46,4,2
2020/9/15,30,2020,9,40,16,34,9,1
2020/9/16,30,2020,9,45,18,21,7,3
2020/9/17,30,2020,9,46,25,27,5,6
2020/9/18,30,2020,9,51,13,43,2,1
2020/9/19,30,2020,9,43,18,41,4,2
2020/9/20,30,2020,9,53,17,47,2,1
2020/9/21,30,2020,9,53,14,47,3,1
2020/9/22,30,2020,9,51,15,42,5,1
2020/9/23,30,2020,9,43,23,36,7,2
2020/9/24,30,2020,9,60,9,25,6,1
2020/9/25,30,2020,9,23,11,29,5,1
2020/9/26,30,2020,9,28,7,34,2,1
2020/9/27,30,2020,9,21,10,33,4,2
2020/9/28,30,2020,9,33,16,54,7,2
2020/9/29,30,2020,9,45,17,36,6,1
2020/9/30,30,2020,9,49,10,38,4,1
2020/4/1,30,2020,4,36,16,44,5,4
2020/4/2,30,2020,4,50,19,37,13,6
2020/4/3,30,2020,4,61,24,45,12,7
2020/4/4,30,2020,4,68,11,40,2,1
2020/4/5,30,2020,4,38,15,46,5,1
2020/4/6,30,2020,4,53,19,49,11,6
2020/4/7,30,2020,4,61,29,62,12,6
2020/4/8,30,2020,4,76,19,56,6,4
2020/4/9,30,2020,4,62,11,39,4,2
2020/4/10,30,2020,4,39,11,44,4,2
2020/4/11,30,2020,4,43,11,37,3,1
