表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021年3月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,A1301,,A130101,,A130102,,A1302,,A130201,,A130202,,A1303,,A130301,,A130302,,A1304,,A130401,,A130402,,A1305,,A130501,,A130502,,A1306,,A130601,,A130602,
調査年 コード,調査年,地域 コード,地域,/項目,A1301_15歳未満人口【人】,注釈,A130101_15歳未満人口（男）【人】,注釈,A130102_15歳未満人口（女）【人】,注釈,A1302_15～64歳人口【人】,注釈,A130201_15～64歳人口（男）【人】,注釈,A130202_15～64歳人口（女）【人】,注釈,A1303_65歳以上人口【人】,注釈,A130301_65歳以上人口（男）【人】,注釈,A130302_65歳以上人口（女）【人】,注釈,A1304_15歳未満人口割合【％】,注釈,A130401_15歳未満人口割合（男）【％】,注釈,A130402_15歳未満人口割合（女）【％】,注釈,A1305_15～64歳人口割合【％】,注釈,A130501_15～64歳人口割合（男）【％】,注釈,A130502_15～64歳人口割合（女）【％】,注釈,A1306_65歳以上人口割合【％】,注釈,A130601_65歳以上人口割合（男）【％】,注釈,A130602_65歳以上人口割合（女）【％】,注釈
2019100000,2019年度,19000,山梨県,,"95,000",,"48,000",,"46,000",,"466,000",,"239,000",,"228,000",,"250,000",,"110,000",,"140,000",,11.7,,12.2,,11.2,,57.5,,60.1,,55,,30.8,,27.7,,33.8,
2019100000,2019年度,20000,長野県,,"250,000",,"128,000",,"122,000",,"1,146,000",,"585,000",,"561,000",,"653,000",,"287,000",,"366,000",,12.2,,12.8,,11.6,,55.9,,58.5,,53.5,,31.9,,28.7,,34.9,
2019100000,2019年度,21000,岐阜県,,"248,000",,"127,000",,"121,000",,"1,140,000",,"574,000",,"565,000",,"599,000",,"263,000",,"336,000",,12.5,,13.2,,11.9,,57.4,,59.5,,55.3,,30.1,,27.3,,32.8,
2019100000,2019年度,22000,静岡県,,"447,000",,"229,000",,"218,000",,"2,107,000",,"1,086,000",,"1,021,000",,"1,089,000",,"481,000",,"608,000",,12.3,,12.8,,11.8,,57.8,,60.5,,55.3,,29.9,,26.8,,32.9,
2019100000,2019年度,23000,愛知県,,"991,000",,"508,000",,"483,000",,"4,669,000",,"2,428,000",,"2,241,000",,"1,892,000",,"843,000",,"1,049,000",,13.1,,13.4,,12.8,,61.8,,64.3,,59.4,,25.1,,22.3,,27.8,
2019100000,2019年度,24000,三重県,,"218,000",,"111,000",,"106,000",,"1,034,000",,"528,000",,"506,000",,"530,000",,"231,000",,"299,000",,12.2,,12.8,,11.7,,58,,60.7,,55.5,,29.7,,26.5,,32.8,
2019100000,2019年度,25000,滋賀県,,"195,000",,"100,000",,"95,000",,"852,000",,"435,000",,"417,000",,"368,000",,"164,000",,"204,000",,13.8,,14.3,,13.2,,60.2,,62.2,,58.3,,26,,23.4,,28.5,
2019100000,2019年度,26000,京都府,,"299,000",,"153,000",,"146,000",,"1,531,000",,"759,000",,"772,000",,"753,000",,"322,000",,"430,000",,11.6,,12.4,,10.8,,59.3,,61.5,,57.3,,29.1,,26.1,,31.9,
2019100000,2019年度,27000,大阪府,,"1,043,000",,"533,000",,"509,000",,"5,333,000",,"2,641,000",,"2,691,000",,"2,434,000",,"1,052,000",,"1,382,000",,11.8,,12.6,,11.1,,60.5,,62.5,,58.7,,27.6,,24.9,,30.2,
2019100000,2019年度,28000,兵庫県,,"674,000",,"345,000",,"329,000",,"3,202,000",,"1,573,000",,"1,629,000",,"1,591,000",,"687,000",,"904,000",,12.3,,13.2,,11.5,,58.6,,60.4,,56.9,,29.1,,26.4,,31.6,
2019100000,2019年度,29000,奈良県,,"158,000",,"80,000",,"77,000",,"756,000",,"365,000",,"391,000",,"417,000",,"181,000",,"236,000",,11.9,,12.8,,11,,56.8,,58.3,,55.5,,31.3,,28.9,,33.5,
2019100000,2019年度,30000,和歌山県,,"107,000",,"55,000",,"52,000",,"511,000",,"251,000",,"261,000",,"306,000",,"129,000",,"177,000",,11.6,,12.6,,10.7,,55.3,,57.7,,53.2,,33.1,,29.7,,36.1,
2019100000,2019年度,31000,鳥取県,,"70,000",,"36,000",,"34,000",,"308,000",,"155,000",,"153,000",,"178,000",,"75,000",,"103,000",,12.5,,13.4,,11.7,,55.4,,58.3,,52.7,,32.1,,28.2,,35.6,
2019100000,2019年度,32000,島根県,,"83,000",,"42,000",,"40,000",,"360,000",,"185,000",,"176,000",,"231,000",,"98,000",,"133,000",,12.3,,13,,11.5,,53.4,,56.7,,50.4,,34.3,,30.3,,38.1,
2019100000,2019年度,33000,岡山県,,"237,000",,"122,000",,"115,000",,"1,080,000",,"541,000",,"539,000",,"573,000",,"246,000",,"327,000",,12.5,,13.4,,11.7,,57.1,,59.5,,54.9,,30.3,,27.1,,33.4,
2019100000,2019年度,34000,広島県,,"358,000",,"183,000",,"175,000",,"1,623,000",,"824,000",,"799,000",,"823,000",,"355,000",,"468,000",,12.8,,13.4,,12.1,,57.9,,60.5,,55.4,,29.3,,26,,32.5,
2019100000,2019年度,35000,山口県,,"158,000",,"81,000",,"77,000",,"735,000",,"369,000",,"366,000",,"466,000",,"196,000",,"270,000",,11.6,,12.6,,10.8,,54.1,,57.1,,51.3,,34.3,,30.3,,37.9,
2019100000,2019年度,36000,徳島県,,"81,000",,"42,000",,"39,000",,"402,000",,"200,000",,"202,000",,"245,000",,"106,000",,"139,000",,11.2,,12.1,,10.4,,55.2,,57.5,,53.1,,33.6,,30.4,,36.6,
2019100000,2019年度,37000,香川県,,"117,000",,"60,000",,"57,000",,"535,000",,"271,000",,"264,000",,"305,000",,"133,000",,"171,000",,12.2,,12.9,,11.5,,56,,58.4,,53.6,,31.8,,28.7,,34.8,
2019100000,2019年度,38000,愛媛県,,"159,000",,"81,000",,"77,000",,"739,000",,"367,000",,"372,000",,"442,000",,"186,000",,"256,000",,11.8,,12.8,,11,,55.1,,57.8,,52.7,,33,,29.4,,36.3,
2019100000,2019年度,39000,高知県,,"77,000",,"39,000",,"38,000",,"375,000",,"187,000",,"188,000",,"246,000",,"103,000",,"143,000",,11.1,,12,,10.3,,53.7,,56.8,,51,,35.2,,31.3,,38.8,
2019100000,2019年度,40000,福岡県,,"670,000",,"343,000",,"327,000",,"3,008,000",,"1,476,000",,"1,532,000",,"1,425,000",,"597,000",,"828,000",,13.1,,14.2,,12.2,,58.9,,61.1,,57,,27.9,,24.7,,30.8,
2019100000,2019年度,41000,佐賀県,,"110,000",,"56,000",,"54,000",,"458,000",,"226,000",,"232,000",,"246,000",,"104,000",,"143,000",,13.5,,14.7,,12.5,,56.2,,58.5,,54.1,,30.3,,26.9,,33.3,
2019100000,2019年度,42000,長崎県,,"168,000",,"86,000",,"82,000",,"725,000",,"356,000",,"369,000",,"433,000",,"182,000",,"252,000",,12.7,,13.8,,11.6,,54.7,,57,,52.5,,32.7,,29.1,,35.8,
2019100000,2019年度,43000,熊本県,,"233,000",,"119,000",,"113,000",,"972,000",,"477,000",,"495,000",,"543,000",,"229,000",,"314,000",,13.3,,14.4,,12.3,,55.6,,57.8,,53.7,,31.1,,27.8,,34,
