表題：,都道府県・市区町村のすがた（社会・人口統計体系）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公開日：,2021/3/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
***,調査又は集計していないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,データが得られないもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,数値が秘匿されているもの,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,A1101,,A1201,,A1202,,A1203,,A1204,,A1205,,A1206,,A1207,,A1208,,A1209,,A1210,,A1211,,A1212,,A1213,,A1214,,A1215,,A1216,,A1217,,A1218,,A1219,,A1220,,A1221,
調査年 コード,調査年,year,prefecture_num,地域 コード,地域,/項目,A1101_総人口【人】,注釈,A1201_0～4歳人口【人】,注釈,A1202_5～9歳人口【人】,注釈,A1203_10～14歳人口【人】,注釈,A1204_15～19歳人口【人】,注釈,A1205_20～24歳人口【人】,注釈,A1206_25～29歳人口【人】,注釈,A1207_30～34歳人口【人】,注釈,A1208_35～39歳人口【人】,注釈,A1209_40～44歳人口【人】,注釈,A1210_45～49歳人口【人】,注釈,A1211_50～54歳人口【人】,注釈,A1212_55～59歳人口【人】,注釈,A1213_60～64歳人口【人】,注釈,A1214_65～69歳人口【人】,注釈,A1215_70～74歳人口【人】,注釈,A1216_75～79歳人口【人】,注釈,A1217_80～84歳人口【人】,注釈,A1218_85～89歳人口【人】,注釈,A1219_90～94歳人口【人】,注釈,A1220_95～99歳人口【人】,注釈,A1221_100歳以上人口【人】,注釈
2019100000,2019年度,2019,15,15000,新潟県,,"2,223,000",,"75,000",,"86,000",,"93,000",,"101,000",,"92,000",,"90,000",,"107,000",,"123,000",,"147,000",,"156,000",,"143,000",,"139,000",,"151,000",,"179,000",,"163,000",,"132,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,16,16000,富山県,,"1,044,000",,"36,000",,"39,000",,"44,000",,"49,000",,"46,000",,"42,000",,"49,000",,"56,000",,"71,000",,"81,000",,"67,000",,"62,000",,"64,000",,"77,000",,"84,000",,"67,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,17,17000,石川県,,"1,138,000",,"43,000",,"47,000",,"50,000",,"57,000",,"58,000",,"52,000",,"57,000",,"63,000",,"78,000",,"88,000",,"73,000",,"67,000",,"69,000",,"79,000",,"86,000",,"67,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,18,18000,福井県,,"768,000",,"29,000",,"32,000",,"35,000",,"38,000",,"34,000",,"32,000",,"38,000",,"42,000",,"50,000",,"55,000",,"48,000",,"48,000",,"50,000",,"57,000",,"54,000",,"45,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,19,19000,山梨県,,"811,000",,"29,000",,"31,000",,"35,000",,"40,000",,"38,000",,"34,000",,"38,000",,"43,000",,"51,000",,"59,000",,"56,000",,"53,000",,"54,000",,"61,000",,"57,000",,"49,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,20,20000,長野県,,"2,049,000",,"74,000",,"83,000",,"92,000",,"99,000",,"83,000",,"79,000",,"94,000",,"110,000",,"136,000",,"153,000",,"136,000",,"127,000",,"129,000",,"148,000",,"149,000",,"128,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,21,21000,岐阜県,,"1,987,000",,"74,000",,"84,000",,"91,000",,"100,000",,"95,000",,"84,000",,"96,000",,"109,000",,"132,000",,"151,000",,"131,000",,"122,000",,"121,000",,"143,000",,"147,000",,"121,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,22,22000,静岡県,,"3,644,000",,"134,000",,"151,000",,"162,000",,"173,000",,"157,000",,"157,000",,"186,000",,"210,000",,"245,000",,"279,000",,"247,000",,"226,000",,"228,000",,"265,000",,"263,000",,"222,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,23,23000,愛知県,,"7,552,000",,"314,000",,"334,000",,"343,000",,"370,000",,"427,000",,"420,000",,"442,000",,"478,000",,"543,000",,"621,000",,"524,000",,"446,000",,"399,000",,"450,000",,"483,000",,"407,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,24,24000,三重県,,"1,781,000",,"65,000",,"73,000",,"79,000",,"86,000",,"84,000",,"79,000",,"89,000",,"100,000",,"118,000",,"137,000",,"120,000",,"112,000",,"109,000",,"125,000",,"127,000",,"108,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,25,25000,滋賀県,,"1,414,000",,"60,000",,"66,000",,"69,000",,"74,000",,"75,000",,"71,000",,"78,000",,"87,000",,"101,000",,"110,000",,"92,000",,"83,000",,"81,000",,"92,000",,"91,000",,"73,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,26,26000,京都府,,"2,583,000",,"92,000",,"100,000",,"107,000",,"120,000",,"155,000",,"141,000",,"133,000",,"146,000",,"173,000",,"200,000",,"172,000",,"151,000",,"141,000",,"170,000",,"190,000",,"159,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,27,27000,大阪府,,"8,809,000",,"330,000",,"346,000",,"366,000",,"410,000",,"491,000",,"473,000",,"480,000",,"521,000",,"609,000",,"733,000",,"631,000",,"523,000",,"462,000",,"555,000",,"616,000",,"542,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,28,28000,兵庫県,,"5,466,000",,"209,000",,"225,000",,"239,000",,"262,000",,"271,000",,"245,000",,"271,000",,"310,000",,"370,000",,"435,000",,"378,000",,"337,000",,"322,000",,"376,000",,"397,000",,"330,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,29,29000,奈良県,,"1,330,000",,"47,000",,"53,000",,"58,000",,"66,000",,"65,000",,"56,000",,"61,000",,"69,000",,"84,000",,"101,000",,"90,000",,"82,000",,"81,000",,"98,000",,"104,000",,"89,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,30,30000,和歌山県,,"925,000",,"32,000",,"36,000",,"39,000",,"44,000",,"38,000",,"35,000",,"42,000",,"48,000",,"57,000",,"68,000",,"61,000",,"60,000",,"61,000",,"71,000",,"72,000",,"62,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,31,31000,鳥取県,,"556,000",,"22,000",,"23,000",,"25,000",,"26,000",,"22,000",,"22,000",,"27,000",,"32,000",,"36,000",,"38,000",,"33,000",,"34,000",,"38,000",,"44,000",,"41,000",,"31,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,32,32000,島根県,,"674,000",,"26,000",,"28,000",,"29,000",,"31,000",,"26,000",,"25,000",,"31,000",,"36,000",,"42,000",,"44,000",,"38,000",,"41,000",,"45,000",,"54,000",,"52,000",,"40,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,33,33000,岡山県,,"1,890,000",,"74,000",,"79,000",,"83,000",,"92,000",,"97,000",,"90,000",,"96,000",,"106,000",,"124,000",,"139,000",,"114,000",,"107,000",,"114,000",,"130,000",,"140,000",,"112,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,34,34000,広島県,,"2,804,000",,"110,000",,"122,000",,"126,000",,"133,000",,"136,000",,"130,000",,"146,000",,"162,000",,"190,000",,"217,000",,"180,000",,"163,000",,"165,000",,"194,000",,"205,000",,"164,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,35,35000,山口県,,"1,358,000",,"48,000",,"53,000",,"57,000",,"62,000",,"57,000",,"54,000",,"62,000",,"71,000",,"85,000",,"96,000",,"81,000",,"79,000",,"88,000",,"109,000",,"111,000",,"91,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,36,36000,徳島県,,"728,000",,"25,000",,"27,000",,"29,000",,"32,000",,"29,000",,"28,000",,"34,000",,"40,000",,"46,000",,"51,000",,"45,000",,"45,000",,"51,000",,"60,000",,"58,000",,"44,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,37,37000,香川県,,"956,000",,"36,000",,"39,000",,"41,000",,"45,000",,"42,000",,"38,000",,"46,000",,"53,000",,"64,000",,"71,000",,"59,000",,"56,000",,"61,000",,"71,000",,"76,000",,"57,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,38,38000,愛媛県,,"1,339,000",,"48,000",,"54,000",,"57,000",,"62,000",,"53,000",,"51,000",,"63,000",,"72,000",,"87,000",,"95,000",,"83,000",,"83,000",,"90,000",,"106,000",,"105,000",,"82,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,39,39000,高知県,,"698,000",,"24,000",,"26,000",,"28,000",,"31,000",,"27,000",,"25,000",,"30,000",,"36,000",,"45,000",,"49,000",,"42,000",,"43,000",,"47,000",,"56,000",,"58,000",,"46,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,40,40000,福岡県,,"5,104,000",,"216,000",,"227,000",,"228,000",,"239,000",,"275,000",,"252,000",,"275,000",,"315,000",,"352,000",,"374,000",,"319,000",,"297,000",,"310,000",,"366,000",,"346,000",,"273,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,41,41000,佐賀県,,"815,000",,"34,000",,"37,000",,"39,000",,"41,000",,"36,000",,"34,000",,"40,000",,"47,000",,"52,000",,"53,000",,"49,000",,"51,000",,"56,000",,"64,000",,"55,000",,"44,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,42,42000,長崎県,,"1,327,000",,"52,000",,"56,000",,"59,000",,"61,000",,"51,000",,"52,000",,"61,000",,"70,000",,"80,000",,"87,000",,"82,000",,"86,000",,"95,000",,"111,000",,"97,000",,"78,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,43,43000,熊本県,,"1,748,000",,"73,000",,"79,000",,"80,000",,"82,000",,"76,000",,"74,000",,"88,000",,"99,000",,"109,000",,"111,000",,"104,000",,"108,000",,"120,000",,"135,000",,"120,000",,"96,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,44,44000,大分県,,"1,135,000",,"42,000",,"47,000",,"49,000",,"53,000",,"48,000",,"45,000",,"54,000",,"63,000",,"73,000",,"76,000",,"67,000",,"67,000",,"77,000",,"90,000",,"87,000",,"69,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,45,45000,宮崎県,,"1,073,000",,"44,000",,"49,000",,"50,000",,"50,000",,"42,000",,"40,000",,"50,000",,"59,000",,"68,000",,"69,000",,"62,000",,"67,000",,"76,000",,"88,000",,"79,000",,"61,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,46,46000,鹿児島県,,"1,602,000",,"66,000",,"72,000",,"74,000",,"73,000",,"62,000",,"63,000",,"76,000",,"90,000",,"98,000",,"99,000",,"94,000",,"103,000",,"120,000",,"132,000",,"110,000",,"89,000",,***,,***,,***,,***,,***,
2019100000,2019年度,2019,47,47000,沖縄県,,"1,453,000",,"81,000",,"83,000",,"82,000",,"80,000",,"74,000",,"75,000",,"86,000",,"93,000",,"100,000",,"105,000",,"91,000",,"88,000",,"92,000",,"98,000",,"66,000",,"55,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,0,0,全国,,"126,443,000",,"4,838,000",,"5,184,000",,"5,392,000",,"5,907,000",,"6,330,000",,"6,223,000",,"6,936,000",,"7,694,000",,"9,093,000",,"9,666,000",,"8,360,000",,"7,651,000",,"7,591,000",,"9,368,000",,"8,234,000",,"6,932,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,1,1000,北海道,,"5,286,000",,"175,000",,"195,000",,"207,000",,"229,000",,"235,000",,"232,000",,"266,000",,"304,000",,"367,000",,"381,000",,"344,000",,"341,000",,"354,000",,"452,000",,"368,000",,"310,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,2,2000,青森県,,"1,263,000",,"41,000",,"45,000",,"51,000",,"58,000",,"48,000",,"48,000",,"59,000",,"69,000",,"82,000",,"86,000",,"83,000",,"88,000",,"94,000",,"112,000",,"89,000",,"75,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,3,3000,岩手県,,"1,241,000",,"41,000",,"47,000",,"52,000",,"57,000",,"47,000",,"50,000",,"59,000",,"69,000",,"81,000",,"82,000",,"78,000",,"84,000",,"91,000",,"106,000",,"82,000",,"74,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,4,4000,宮城県,,"2,316,000",,"85,000",,"93,000",,"98,000",,"109,000",,"123,000",,"119,000",,"130,000",,"144,000",,"164,000",,"163,000",,"144,000",,"146,000",,"155,000",,"182,000",,"139,000",,"116,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,5,5000,秋田県,,"981,000",,"28,000",,"33,000",,"37,000",,"40,000",,"30,000",,"33,000",,"42,000",,"51,000",,"61,000",,"62,000",,"59,000",,"69,000",,"78,000",,"93,000",,"72,000",,"63,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,6,6000,山形県,,"1,090,000",,"38,000",,"42,000",,"47,000",,"51,000",,"40,000",,"43,000",,"53,000",,"61,000",,"70,000",,"69,000",,"66,000",,"73,000",,"80,000",,"95,000",,"71,000",,"62,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,7,7000,福島県,,"1,864,000",,"67,000",,"70,000",,"79,000",,"89,000",,"73,000",,"80,000",,"94,000",,"105,000",,"122,000",,"124,000",,"117,000",,"129,000",,"139,000",,"160,000",,"119,000",,"102,000",,***,,***,,***,,***,,***,
2018100000,2018年度,2018,8,8000,茨城県,,"2,877,000",,"106,000",,"117,000",,"127,000",,"140,000",,"132,000",,"130,000",,"152,000",,"172,000",,"204,000",,"216,000",,"185,000",,"176,000",,"190,000",,"233,000",,"196,000",,"162,000",,***,,***,,***,,***,,***,
