date, pm25, pm10, o3, no2, so2
2020/1/7, 29, 6, 18, 8, 1
2020/1/8, 27, 3, 28, 7, 
2020/1/9, 37, 6, 29, 6, 1
2020/1/10, 28, 10, 19, 7, 1
2020/1/11, 38, 7, 32, 5, 1
2020/1/12, 32, 10, 32, 4, 1
2020/1/13, 34, 9, 29, 8, 1
2020/1/14, 39, 4, 23, 6, 1
2020/1/15, 24, 8, 27, 10, 1
2020/1/16, 33, 7, 27, 4, 1
2020/1/17, 20, 6, 30, 2, 1
2020/1/18, 20, 9, 34, 5, 1
2020/1/19, 39, 10, 31, 8, 1
2020/1/20, 45, 6, 31, 6, 1
2020/1/21, 23, 8, 25, 9, 1
2020/1/22, 47, 17, 14, 13, 1
2020/1/23, 57, 11, 28, 9, 
2020/1/24, 36, 6, 31, 4, 1
2020/1/25, 28, 10, 26, 5, 1
2020/1/26, 36, 9, 28, 5, 1
2020/1/27, 32, 3, 34, 2, 
2020/1/28, 21, 5, 34, 5, 1
2020/1/29, 22, 5, 29, 5, 1
2020/1/30, 37, 3, 31, 5, 1
2020/1/31, 34, 4, 31, 5, 1
2020/2/1, 37, 4, 34, 4, 1
2020/2/2, 50, 12, 31, 8, 1
2020/2/3, 39, 5, 30, 6, 103
2020/2/4, 26, 7, 35, 3, 1
2020/2/5, 48, 2, 29, 3, 1
2020/2/6, 26, 5, 30, 7, 1
2020/2/7, 37, 14, 18, 6, 
2020/2/8, 13, 6, 31, 3, 
2020/2/10, 46, 6, 35, 4, 
2020/2/11, 35, 10, 35, 5, 1
2020/2/12, 36, 13, 31, 14, 1
2020/2/13, 57, 9, 36, 8, 
2020/2/14, 32, 11, 37, 8, 1
2020/2/15, 48, 18, 17, , 
2020/2/16, 38, 6, 29, 8, 1
2020/2/17, 14, 3, 33, 3, 1
2020/2/18, 45, 2, 36, 3, 1
2020/2/19, 60, 9, 35, 5, 1
2020/2/20, 33, 8, 37, 7, 1
2020/2/21, 39, 10, 20, 5, 
2020/2/22, 37, , , , 
2020/2/25, 74, 6, 34, 4, 1
2020/2/26, 29, 1, 32, 2, 
2020/2/27, 37, 4, 31, 8, 1
2020/2/28, 32, , , , 
2020/3/2, 14, 6, 7, 6, 
2020/3/3, 12, 7, 26, 6, 1
2020/3/4, 18, 4, 33, 3, 
2020/3/5, 24, 6, 36, 3, 1
2020/3/6, 39, 9, 38, 3, 1
2020/3/7, 36, 8, 30, 1, 
2020/3/8, 38, 6, 33, 3, 1
2020/3/9, 34, 9, 33, 5, 1
2020/3/10, 24, 7, 41, 3, 
2020/3/11, 36, 4, 39, 6, 
2020/3/12, 38, 9, 36, 7, 2
2020/3/13, 31, , , , 
2020/3/16, 48, 3, 21, 7, 1
2020/3/17, 7, 8, 45, 4, 1
2020/3/18, 67, 14, 45, 5, 1
2020/3/19, 61, , , , 
2020/3/23, 32, 5, 34, 3, 1
2020/3/24, 31, 3, 39, 5, 1
2020/3/25, 44, 9, 48, 9, 1
2020/3/26, 53, 15, 39, 9, 2
2020/3/27, 55, 10, 36, 3, 1
2020/3/28, 30, 6, 28, 1, 
2020/3/29, 5, , , , 
2019/10/1, 55, 22, 50, 4, 2
2019/10/2, 60, 20, 42, 4, 1
2019/10/3, 59, 18, 39, 4, 1
2019/10/4, 46, 12, 41, 3, 1
2019/10/5, 52, 7, 23, 3, 1
2019/10/6, 19, 7, 26, 3, 1
2019/10/7, 32, 11, 22, 5, 1
2019/10/8, 41, 8, 32, 5, 1
2019/10/9, 57, 8, 35, 3, 1
2019/10/10, 47, 11, 23, 5, 1
2019/10/11, 34, 20, 22, 1, 
2019/10/12, 28, 7, 30, 1, 
2019/10/13, 56, 11, 29, 2, 1
2019/10/14, 28, 8, 31, 3, 1
2019/10/15, 25, 11, 32, 5, 1
2019/10/16, 27, 14, 40, 5, 1
2019/10/17, 51, 12, 30, 5, 1
2019/10/18, 5, 9, 22, 4, 1
2019/10/21, 23, 7, 35, 1, 
2019/10/22, 13, 7, 34, 4, 1
2019/10/23, 45, 13, 36, 3, 1
2019/10/24, 25, 14, 37, 2, 
2019/10/25, 28, 9, 31, 6, 1
2019/10/26, 39, 11, 26, 3, 1
2019/10/27, 28, 10, 33, 5, 1
2019/10/28, 40, 7, 17, 6, 
2019/10/29, 24, 7, 23, 7, 1
2019/10/30, 32, 19, 36, 7, 1
2019/10/31, 51, 19, 34, 7, 1
2019/11/1, 52, 8, 24, 3, 1
2019/11/2, 62, , , , 
2019/11/7, 34, 10, 35, 4, 1
2019/11/8, 40, 6, 34, 5, 1
2019/11/9, 34, 6, 31, 4, 1
2019/11/10, 37, 9, 32, 8, 1
2019/11/11, 38, 14, 33, 8, 1
2019/11/12, 46, 10, 31, 6, 1
2019/11/13, 36, 8, 31, 5, 1
2019/11/14, 47, 7, 29, 6, 1
2019/11/15, 38, 11, 36, 6, 1
