date, pm25, pm10, o3, no2, so2
2020/11/6, 44, 10, 21, 1, 
2020/11/7, 37, 18, 49, 1, 1
2020/11/8, 58, 6, 32, 1, 
2020/11/9, 20, 8, 31, 2, 1
2020/11/10, 33, 7, 29, 2, 
2020/11/11, 33, 10, 28, 3, 1
2020/11/12, 42, 10, 38, 3, 1
2020/11/13, 48, 12, 43, 2, 1
2020/11/14, 53, 15, 29, 1, 2
2020/11/15, 59, 14, 18, 1, 1
2020/11/16, 54, 13, 24, 1, 2
2020/11/17, 47, 14, 29, 1, 1
2020/11/18, 54, 8, 27, 1, 2
2020/11/19, 27, 11, 30, 1, 
2020/11/20, 47, 8, 29, 2, 1
2020/11/21, 36, 9, 24, 1, 1
2020/11/22, 38, 10, 29, 1, 
2020/11/23, 43, 7, 25, 2, 
2020/11/24, 34, 10, 27, 3, 
2020/11/25, 41, 10, 30, 3, 1
2020/11/26, 43, 11, 33, 2, 1
2020/11/27, 53, 8, 30, 1, 
2020/11/28, 36, 8, 27, 1, 1
2020/11/29, 33, 8, 32, 2, 1
2020/11/30, 36, 6, 30, 3, 1
2020/12/1, 27, 6, 29, 3, 1
2020/12/2, 25, 7, 34, 3, 1
2020/12/3, 35, 9, 28, 2, 1
2020/12/4, 36, 7, 34, 2, 1
2020/12/5, 30, 7, 34, 1, 
2020/12/6, 29, 11, 33, 2, 1
2020/12/7, 41, 16, 33, 2, 1
2020/12/8, 61, 9, 27, 3, 1
2020/12/9, 36, 5, 27, 3, 1
2020/12/10, 23, 7, 24, 2, 1
2020/12/11, 27, 15, 41, 2, 1
2020/12/12, 57, 13, 31, 2, 1
2020/12/13, 52, 8, 30, 1, 
2020/12/14, 35, 5, 28, 1, 
2020/12/15, 25, 6, 30, 1, 
2020/12/16, 30, 4, 30, 3, 
2020/12/17, 22, 7, 30, 3, 1
2020/12/18, 27, 8, 31, 2, 
2020/12/19, 35, 5, 31, 2, 
2020/12/20, 22, 10, 31, 3, 1
2020/12/21, 44, 19, 32, 4, 1
2020/12/22, 69, 22, 28, 5, 1
2020/12/23, 75, 12, 24, 3, 
2020/12/24, 51, 9, 30, 2, 1
2020/12/25, 37, 9, 22, 3, 1
2020/12/26, 37, 9, 13, 2, 1
2020/12/27, 37, 6, 32, 2, 1
2020/12/28, 29, 8, 16, 2, 1
2020/12/29, 34, 5, 31, 1, 
2020/12/30, 28, 5, 30, 1, 1
2020/12/31, 20, 5, 26, 1, 
2021/1/1, 21, 8, 17, 1, 
2021/1/2, 38, 8, 33, 1, 1
2021/1/3, 31, 8, 32, 2, 1
2020/7/1, 29, 9, 42, 1, 1
2020/7/2, 33, 11, 26, 1, 1
2020/7/3, 37, 5, 30, 1, 
2020/7/4, 16, 9, 31, 1, 
2020/7/5, 27, 2, 29, 1, 
2020/7/6, 6, 5, 28, 1, 
2020/7/7, 14, 9, 34, 1, 1
2020/7/8, 28, 7, 25, 1, 1
2020/7/9, 19, 4, 23, 1, 1
2020/7/10, 9, 10, 24, 1, 
2020/7/11, 29, 7, 28, 1, 
2020/7/12, 21, 9, 22, 1, 
2020/7/13, 23, 3, 33, 1, 
2020/7/14, 13, 5, 23, 1, 
2020/7/15, 16, 7, 28, 1, 
2020/7/16, 23, 12, 32, 1, 
2020/7/17, 39, 19, 28, 1, 1
2020/7/18, 56, 16, 16, 1, 1
2020/7/19, 38, 7, 11, 1, 
2020/7/20, 14, 12, 14, 1, 
2020/7/21, 24, 9, 12, 1, 
2020/7/22, 21, 8, 9, 1, 
2020/7/23, 16, 6, 32, 1, 
2020/7/24, 19, 6, 29, 1, 
2020/7/25, 23, 15, 37, 1, 1
2020/7/26, 43, 5, 21, 1, 
2020/7/27, 11, 6, 12, 1, 
2020/7/28, 12, 9, 10, 1, 
2020/7/29, 25, 14, 14, 1, 
2020/7/30, 35, 11, 14, 1, 1
2020/7/31, 30, 12, 17, 1, 
2020/8/1, 28, 36, 15, , 1
2020/8/2, 78, 49, 14, 1, 3
2020/8/3, 112, 51, 17, 1, 5
2020/8/4, 110, 23, 17, 1, 3
2020/8/5, 61, 40, 13, 1, 2
2020/8/6, 82, 45, 9, 1, 1
2020/8/7, 85, 14, 9, 1, 1
2020/8/8, 26, 10, 11, 1, 1
2020/8/9, 27, 8, 11, 1, 1
2020/8/10, 15, 8, 12, 1, 1
2020/8/11, 14, 11, 11, 1, 
2020/8/12, 19, 11, 13, 1, 1
2020/8/13, 21, 8, 15, 1, 
2020/8/14, 18, 9, 14, 1, 
2020/8/15, 20, 12, 12, 1, 
2020/8/16, 33, 18, 15, 1, 
2020/8/17, 54, 21, 20, 1, 1
2020/8/18, 61, 28, 37, 1, 
2020/8/19, 69, 38, 40, 1, 1
2020/8/20, 81, 45, 44, 1, 1
2020/8/21, 86, 29, 29, 1, 
2020/8/22, 63, 23, 29, 1, 
2020/8/23, 58, 30, 32, 1, 1
2020/8/24, 71, 24, 14, 1, 3
2020/8/25, 58, 8, 21, 1, 2
2020/8/26, 16, 7, 16, 1, 1
2020/8/27, 15, 10, 14, 1, 1
2020/8/28, 22, 16, 26, 1, 4
2020/8/29, 35, 16, 37, 1, 1
2020/8/30, 43, 18, 33, 1, 1
2020/8/31, 43, 15, 21, 1, 3
2020/9/1, 37, 8, 19, 1, 2
2020/9/2, 17, 17, 24, 1, 
2020/9/3, 34, 28, 45, 1, 
2020/9/4, 57, 25, 37, 1, 
2020/9/5, 40, 11, 19, 1, 
2020/9/6, 22, 6, 25, , 
2020/9/7, 6, , , , 
2020/9/13, 15, 5, 33, 1, 1
2020/9/14, 18, 10, 41, 1, 1
2020/9/15, 31, 11, 27, 1, 
2020/9/16, 32, 6, 27, 1, 
2020/9/17, 17, 5, 39, 1, 
2020/9/18, 17, 9, 34, 1, 1
2020/9/19, 29, 8, 38, 1, 1
2020/9/20, 27, 8, 37, 1, 1
2020/9/21, 27, 9, 37, 2, 1
2020/9/22, 32, 11, 37, 2, 
2020/9/23, 34, 8, 18, 2, 
2020/9/24, 28, 6, 30, 2, 
2020/9/25, 17, 9, 31, 1, 
2020/9/26, 29, 8, 33, , 
2020/9/27, 20, 7, 34, 1, 1
2020/9/28, 23, 10, 38, 1, 1
2020/9/29, 33, 9, 34, 1, 
2020/9/30, 31, 9, 33, 1, 
2020/4/1, 29, 12, 39, 1, 1
2020/4/2, 53, 14, 42, 1, 1
2020/4/3, 57, 17, 50, 1, 1
2020/4/4, 62, 9, 39, 1, 
2020/4/5, 42, 14, 46, 1, 1
2020/4/6, 52, 15, 50, 2, 1
2020/4/7, 57, 21, 56, 2, 1
2020/4/8, 72, 14, 51, 2, 
2020/4/9, 55, 13, 39, 2, 1
2020/4/10, 50, 12, 43, 2, 1
2020/4/11, 53, 5, 39, 2, 1
2020/4/12, 28, 9, 40, 1, 1
2020/4/13, 36, 10, 41, 1, 1
2020/4/14, 42, 10, 43, 1, 1
2020/4/15, 45, 15, 47, 1, 1
2020/4/16, 58, 17, 40, 2, 4
2020/4/17, 64, 19, 53, 1, 1
2020/4/18, 65, 10, 35, 1, 1
