date, pm25, pm10, o3, no2, so2
2020/11/10, 34, 9, 28, 6, 1
2020/11/11, 32, 16, 24, 13, 1
2020/11/12, 49, 20, 18, 14, 1
2020/11/13, 57, 16, 33, 8, 1
2020/11/14, 50, 19, 25, 9, 4
2020/11/15, 55, 20, 29, 10, 2
2020/11/16, 55, 22, 33, 12, 2
2020/11/17, 66, 25, 36, 12, 4
2020/11/18, 67, 18, 32, 7, 3
2020/11/19, 51, 21, 37, 9, 6
2020/11/20, 53, 10, 33, 4, 1
2020/11/21, 34, 13, 21, 8, 3
2020/11/22, 38, 11, 29, 5, 2
2020/11/23, 35, 11, 29, 7, 1
2020/11/24, 37, 16, 14, 14, 1
2020/11/25, 49, 13, 28, 10, 1
2020/11/26, 45, 17, 31, 10, 3
2020/11/27, 51, 15, 29, 5, 4
2020/11/28, 40, 9, 26, 5, 1
2020/11/29, 39, 13, 31, 8, 3
2020/11/30, 46, 12, 29, 8, 1
2020/12/1, 44, 11, 26, 10, 1
2020/12/2, 38, 10, 31, 8, 1
2020/12/3, 37, 9, 29, 8, 1
2020/12/4, 33, 15, 28, 8, 1
2020/12/5, 47, 12, 34, 5, 1
2020/12/6, 47, 16, 28, 10, 1
2020/12/7, 55, 23, 35, 11, 2
2020/12/8, 67, 22, 29, 11, 1
2020/12/9, 62, 16, 29, 9, 1
2020/12/10, 52, 14, 29, 13, 1
2020/12/11, 54, 22, 39, 7, 5
2020/12/12, 64, 17, 35, 6, 3
2020/12/13, 55, 15, 30, 4, 7
2020/12/14, 46, 10, 28, 2, 10
2020/12/15, 37, 19, 29, 1, 15
2020/12/16, 53, 8, 28, 6, 5
2020/12/17, 28, 17, 27, 10, 8
2020/12/18, 50, 14, 28, 5, 1
2020/12/19, 44, 7, 32, 4, 3
2020/12/20, 25, 11, 32, 6, 6
2020/12/21, 43, 15, 33, 10, 2
2020/12/22, 57, 22, 32, 12, 2
2020/12/23, 70, 26, 17, 15, 1
2020/12/24, 73, 16, 31, 7, 6
2020/12/25, 49, 11, 28, 8, 2
2020/12/26, 42, 16, 24, 10, 2
2020/12/27, 57, 18, 21, 11, 1
2020/12/28, 55, 19, 30, 9, 3
2020/12/29, 57, 14, 32, 4, 7
2020/12/30, 44, 12, 30, 1, 14
2020/12/31, 39, 13, 31, 1, 11
2021/1/1, 43, 17, 32, 4, 4
2021/1/2, 40, 18, 32, 2, 10
2021/1/3, 45, 14, 32, 6, 1
2020/7/1, 59, 11, 37, 4, 1
2020/7/2, 33, 14, 24, 6, 2
2020/7/3, 37, 28, 22, 6, 7
2020/7/4, 52, 22, 35, 7, 3
2020/7/5, 53, 25, 11, 6, 5
2020/7/6, 49, 29, 12, 5, 6
2020/7/7, 43, 20, 30, 6, 2
2020/7/8, 41, 14, 22, 8, 2
2020/7/9, 36, 22, 8, 7, 2
2020/7/10, 41, 31, 23, 8, 6
2020/7/11, 58, 16, 37, 5, 2
2020/7/12, 36, 15, 18, 5, 1
2020/7/13, 38, 27, 32, 8, 4
2020/7/14, 51, 15, 32, 6, 2
2020/7/15, 35, 15, 49, 9, 2
2020/7/16, 42, 18, 30, 12, 1
2020/7/17, 41, 14, 41, 10, 2
2020/7/18, 44, 25, 31, 5, 7
2020/7/19, 60, 40, 30, 14, 11
2020/7/20, 80, 32, 35, 6, 3
2020/7/21, 74, 23, 44, 8, 2
2020/7/22, 51, 21, 38, 6, 3
2020/7/23, 44, 21, 14, 4, 3
2020/7/24, 44, 15, 31, 6, 2
2020/7/25, 34, 16, 31, 7, 1
2020/7/26, 35, 16, 15, 5, 3
2020/7/27, 37, 23, 9, 6, 3
2020/7/28, 49, 22, 24, 11, 4
2020/7/29, 50, 18, 39, 10, 8
2020/7/30, 50, 21, 38, 11, 4
2020/7/31, 55, 20, 46, 5, 2
2020/8/1, 50, 29, 44, 11, 6
2020/8/2, 65, 32, 26, 7, 12
2020/8/3, 70, 44, 26, 5, 6
2020/8/4, 90, 48, 32, 9, 7
2020/8/5, 100, 26, 19, 8, 6
2020/8/6, 61, 41, 22, 10, 5
2020/8/7, 69, 51, 14, 6, 9
2020/8/8, 99, 29, 12, 5, 9
2020/8/9, 65, 23, 11, 5, 6
2020/8/10, 53, 26, 15, 7, 10
2020/8/11, 52, 24, 26, 12, 11
2020/8/12, 50, 26, 33, 9, 7
2020/8/13, 56, 31, 41, 10, 5
2020/8/14, 65, 35, 43, 6, 9
2020/8/15, 71, 27, 48, 6, 2
2020/8/16, 65, 27, 57, 6, 2
2020/8/17, 71, 28, 55, 7, 2
2020/8/18, 66, 32, 69, 10, 3
2020/8/19, 71, 35, 34, 8, 4
2020/8/20, 69, 41, 58, 9, 3
2020/8/21, 74, 33, 51, 5, 2
2020/8/22, 68, 26, 43, 6, 3
2020/8/23, 59, 33, 48, 9, 4
2020/8/24, 72, 31, 32, 6, 8
2020/8/25, 68, 23, 31, 7, 6
2020/8/26, 57, 18, 27, 7, 5
2020/8/27, 49, 18, 29, 9, 5
2020/8/28, 43, 21, 31, 6, 5
2020/8/29, 44, 28, 34, 5, 4
